address,subdistrict_code,BEDROOMS,BATHROOMS,SIZE,PROPERTY TYPE,avg_distance_to_nearest_station,nearest_station_count,rent
1800,177,1.0,1.0,,0,2.1,3,1200
809,141,1.0,1.0,335.0,0,0.4,3,1983
2716,80,1.0,1.0,,0,0.5,3,1800
2222,-1,2.0,1.0,,0,1.6,3,1650
1879,48,3.0,2.0,,8,0.4,3,2700
1011,188,2.0,1.0,,9,0.2,3,3500
2765,150,2.0,2.0,,9,0.6,3,4000
2510,-1,,1.0,152.0,24,0.3,3,2253
2066,-1,1.0,1.0,,0,0.5,3,2990
239,179,2.0,1.0,,18,0.3,3,2700
1063,-1,2.0,2.0,,0,0.4,3,3467
2412,88,4.0,2.0,,9,0.3,3,4333
986,-1,2.0,2.0,1710.0,0,0.6,3,3500
1217,186,2.0,1.0,,9,0.3,3,2817
1624,78,4.0,2.0,1592.0,18,0.8,3,3000
1199,201,2.0,2.0,1100.0,9,0.2,3,6067
1199,201,2.0,2.0,1100.0,9,0.2,3,4984
2661,180,,1.0,,24,0.2,3,1250
2161,159,1.0,1.0,,15,1.2,3,930
2292,184,2.0,2.0,681.0,9,0.3,3,6500
1061,201,2.0,1.0,658.0,9,0.2,3,6067
809,141,,1.0,296.0,0,0.5,3,2088
526,128,2.0,2.0,1159.0,9,0.6,3,8233
1993,82,1.0,,,0,0.6,3,1746
526,128,2.0,2.0,1159.0,9,0.6,3,4312
2868,-1,1.0,1.0,531.0,0,0.3,3,2150
2250,147,2.0,1.0,514.0,9,0.4,3,3294
252,147,,1.0,321.0,24,0.4,3,2579
2685,88,2.0,1.0,,0,0.3,3,2578
1972,-1,1.0,1.0,,0,0.3,3,2708
1570,-1,2.0,2.0,,0,0.4,3,4225
308,128,3.0,1.0,,0,0.7,3,3497
2653,-1,1.0,1.0,,9,0.5,3,3100
1176,-1,1.0,1.0,,15,0.4,3,1000
1090,-1,1.0,1.0,,9,0.2,3,2150
1586,91,1.0,1.0,482.0,9,0.8,3,1750
2656,133,2.0,2.0,923.0,9,0.3,3,2950
2584,129,2.0,2.0,886.0,9,0.4,3,4680
139,152,1.0,1.0,,0,0.6,3,3142
2487,-1,1.0,1.0,522.0,9,0.3,3,2817
927,182,1.0,1.0,742.0,9,0.4,3,3879
2544,-1,2.0,1.0,696.0,9,0.9,3,2175
2544,-1,2.0,1.0,696.0,9,0.9,3,3900
2584,129,3.0,2.0,1123.0,9,0.4,3,6873
2584,129,2.0,2.0,864.0,9,0.4,3,4290
2693,85,2.0,2.0,950.0,0,0.3,3,3250
2773,185,1.0,1.0,,0,0.4,3,2535
714,186,1.0,1.0,,0,0.3,3,2297
1684,186,1.0,1.0,,0,0.3,3,2427
134,90,1.0,1.0,,0,0.4,3,2492
421,-1,1.0,1.0,,9,0.5,3,1668
388,142,3.0,2.0,,0,0.4,3,7150
1025,94,2.0,2.0,712.0,9,0.3,3,3463
2464,43,1.0,1.0,360.0,9,0.6,3,2700
2464,43,1.0,1.0,360.0,9,0.6,3,1700
1216,186,3.0,3.0,1399.0,9,0.3,3,5200
1130,186,3.0,1.0,968.0,9,0.3,3,3502
1392,144,,1.0,358.0,24,0.3,3,1950
302,94,2.0,2.0,853.0,9,0.3,3,3640
1745,170,1.0,1.0,,0,1.2,3,1550
574,-1,2.0,2.0,,9,0.4,3,3033
1369,128,2.0,2.0,944.0,9,0.5,3,4117
574,-1,2.0,2.0,,0,0.4,3,3250
1536,-1,3.0,1.0,,23,0.6,3,3700
1506,82,2.0,1.0,,9,0.5,3,2300
1506,82,2.0,1.0,,9,0.5,3,2300
1531,-1,2.0,1.0,,9,0.5,3,2197
843,127,1.0,1.0,401.0,0,0.5,3,2403
2697,-1,4.0,3.0,2021.0,25,0.5,3,8502
1839,-1,2.0,2.0,,9,0.4,3,3250
2015,-1,2.0,2.0,768.0,9,0.5,3,3597
843,127,1.0,1.0,550.0,0,0.5,3,3135
763,84,,1.0,100.0,24,0.5,3,1523
763,84,,1.0,100.0,24,0.5,3,1472
763,84,,1.0,100.0,24,0.5,3,1460
894,142,,1.0,,9,0.4,3,2557
843,127,2.0,1.0,551.0,0,0.4,3,3135
2111,129,1.0,1.0,608.0,9,0.2,3,2200
2700,-1,3.0,2.0,1119.0,9,0.5,3,2595
1095,151,1.0,1.0,377.0,9,0.3,3,2350
575,53,6.0,3.0,,23,0.5,3,3500
270,-1,2.0,2.0,,9,0.4,3,3358
196,170,2.0,2.0,,0,1.2,3,1900
912,194,1.0,1.0,406.0,9,0.4,3,2000
842,141,3.0,2.0,880.0,0,0.4,3,5308
454,-1,2.0,2.0,,9,0.6,3,4312
748,-1,1.0,1.0,526.0,9,0.4,3,3497
675,79,2.0,,987.0,9,0.4,3,3380
2207,-1,5.0,3.0,,9,0.3,3,5200
2623,94,2.0,1.0,,0,0.3,3,2200
741,-1,2.0,1.0,,9,0.8,3,2200
2508,36,1.0,1.0,,0,0.3,3,2025
1959,94,2.0,1.0,,0,0.2,3,1950
1227,-1,4.0,1.0,,14,0.2,3,4000
913,90,2.0,1.0,,9,0.4,3,2850
1637,37,1.0,1.0,,0,0.3,3,2200
2472,-1,5.0,4.0,,14,0.4,3,10833
195,72,1.0,1.0,,9,0.4,3,1900
1984,129,2.0,2.0,855.0,9,0.2,3,4225
1594,150,1.0,1.0,,0,0.4,3,2700
2387,154,3.0,2.0,,14,0.6,3,2950
1119,-1,2.0,1.0,,12,0.3,3,2499
2539,-1,1.0,1.0,,9,0.5,3,2899
1046,150,3.0,2.0,1464.0,18,0.5,3,5300
1622,90,1.0,1.0,,0,0.6,3,2200
922,-1,3.0,1.0,787.0,0,0.4,3,2300
2459,-1,1.0,1.0,549.0,9,0.6,3,1700
2703,-1,3.0,2.0,,14,0.5,3,2900
1082,-1,4.0,1.0,,23,1.5,3,1900
1655,-1,2.0,1.0,,9,0.3,3,4996
2395,-1,2.0,2.0,,9,0.1,3,4000
814,-1,1.0,20.0,,15,0.4,3,1500
1220,0,,1.0,,24,1.2,3,1149
2393,69,1.0,1.0,,9,0.7,3,1378
1484,-1,1.0,1.0,,9,0.4,3,1400
1128,73,,1.0,,24,0.9,3,1350
1279,66,3.0,2.0,,18,0.4,3,2200
1347,162,,1.0,,24,0.6,3,1400
1875,-1,1.0,,,9,0.6,3,1712
2821,138,1.0,1.0,,9,0.2,3,3467
2770,207,4.0,2.0,,2,1.0,3,2700
1483,-1,1.0,1.0,,9,0.4,3,1600
2461,122,1.0,1.0,,9,1.3,3,1500
504,-1,1.0,1.0,410.0,0,0.3,3,4140
1849,84,1.0,1.0,,9,0.9,3,1395
946,-1,,1.0,360.0,24,0.5,3,1475
2055,-1,1.0,1.0,,9,0.7,3,1750
1681,-1,3.0,2.0,1151.0,9,0.4,3,3500
1196,-1,4.0,2.0,,14,0.6,3,4750
544,-1,3.0,,,0,0.5,3,2500
2652,-1,1.0,1.0,,9,0.4,3,1972
783,-1,1.0,1.0,,9,0.5,3,2700
2112,-1,3.0,3.0,1181.0,0,0.5,3,17333
1388,-1,2.0,2.0,,9,0.3,3,2999
1891,147,1.0,1.0,,9,0.8,3,2450
2162,159,1.0,1.0,,15,1.2,3,930
820,150,2.0,2.0,,9,0.5,3,3033
2878,-1,1.0,1.0,560.0,0,1.4,3,1185
1748,-1,2.0,1.0,,9,1.1,3,2300
151,-1,1.0,1.0,,9,1.8,3,1200
1466,-1,2.0,1.0,,9,0.2,3,3150
2388,195,3.0,3.0,,0,0.3,3,8000
229,-1,2.0,1.0,861.0,9,0.6,3,2200
165,-1,2.0,2.0,,25,0.7,3,2799
2531,-1,2.0,2.0,,0,0.7,3,1675
1628,-1,1.0,1.0,,0,0.5,3,1650
351,175,1.0,1.0,,0,1.4,3,1450
1172,90,4.0,2.0,4501.0,5,0.4,3,52000
126,129,3.0,3.0,,9,0.2,3,8880
