property_id,sensor_type,reading,timestamp,alert_triggered
1,Humidity,34.68%,2025-06-03 01:35:46,False
1,Humidity,61.3%,2025-06-03 01:36:08,True
2,Boiler Pressure,17.96 psi,2025-06-03 01:35:35,False
2,Humidity,38.47%,2025-06-03 01:35:42,True
3,Water Flow,39.36 gal/hr,2025-06-03 01:35:44,True
3,Boiler Pressure,88.55 psi,2025-06-03 01:35:28,True
3,CO2,88.26 ppm,2025-06-03 01:35:50,False
4,Water Flow,69.8 gal/hr,2025-06-03 01:35:27,True
4,Humidity,41.13%,2025-06-03 01:36:16,True
4,CO2,7.65 ppm,2025-06-03 01:36:08,True
5,CO2,41.01 ppm,2025-06-03 01:35:47,True
5,CO2,20.74 ppm,2025-06-03 01:36:06,True
5,Humidity,2.67%,2025-06-03 01:36:02,False
6,CO2,74.6 ppm,2025-06-03 01:35:52,True
6,Humidity,3.78%,2025-06-03 01:36:00,False
7,Boiler Pressure,32.71 psi,2025-06-03 01:36:16,False
8,Humidity,6.82%,2025-06-03 01:35:55,True
8,Humidity,14.03%,2025-06-03 01:35:26,False
9,Boiler Pressure,83.85 psi,2025-06-03 01:35:55,True
10,CO2,12.42 ppm,2025-06-03 01:36:15,False
11,Water Flow,67.14 gal/hr,2025-06-03 01:36:16,True
12,CO2,15.35 ppm,2025-06-03 01:36:09,False
12,Boiler Pressure,21.67 psi,2025-06-03 01:35:38,True
12,Boiler Pressure,44.21 psi,2025-06-03 01:36:13,True
13,Water Flow,39.06 gal/hr,2025-06-03 01:36:15,False
13,Humidity,5.24%,2025-06-03 01:35:53,True
13,Water Flow,77.24 gal/hr,2025-06-03 01:36:09,True
14,CO2,90.88 ppm,2025-06-03 01:36:08,True
15,Water Flow,42.17 gal/hr,2025-06-03 01:35:47,True
16,Boiler Pressure,68.0 psi,2025-06-03 01:36:13,True
16,Boiler Pressure,95.87 psi,2025-06-03 01:35:28,True
17,Boiler Pressure,72.4 psi,2025-06-03 01:35:36,True
17,Humidity,51.25%,2025-06-03 01:35:36,False
17,CO2,56.21 ppm,2025-06-03 01:35:36,True
18,Boiler Pressure,93.43 psi,2025-06-03 01:35:51,False
18,Humidity,12.08%,2025-06-03 01:35:50,True
18,Water Flow,35.66 gal/hr,2025-06-03 01:35:17,True
19,Humidity,65.4%,2025-06-03 01:35:26,True
20,Boiler Pressure,45.88 psi,2025-06-03 01:36:03,True
20,CO2,64.99 ppm,2025-06-03 01:36:05,False
21,Water Flow,88.55 gal/hr,2025-06-03 01:35:23,False
22,Humidity,98.31%,2025-06-03 01:35:53,True
22,Boiler Pressure,25.19 psi,2025-06-03 01:36:09,True
23,CO2,98.14 ppm,2025-06-03 01:35:21,False
23,Boiler Pressure,33.2 psi,2025-06-03 01:35:35,False
23,Humidity,6.75%,2025-06-03 01:36:00,True
24,Humidity,38.24%,2025-06-03 01:35:48,True
24,Water Flow,23.26 gal/hr,2025-06-03 01:35:33,True
24,CO2,23.64 ppm,2025-06-03 01:35:20,False
25,Water Flow,5.99 gal/hr,2025-06-03 01:35:28,False
26,CO2,20.2 ppm,2025-06-03 01:36:08,False
26,Boiler Pressure,64.2 psi,2025-06-03 01:36:02,True
27,Humidity,73.93%,2025-06-03 01:35:20,False
27,Boiler Pressure,27.81 psi,2025-06-03 01:35:24,True
27,Humidity,64.8%,2025-06-03 01:35:27,False
28,Boiler Pressure,84.69 psi,2025-06-03 01:35:47,False
29,Boiler Pressure,20.58 psi,2025-06-03 01:35:57,True
29,Boiler Pressure,80.15 psi,2025-06-03 01:35:28,True
30,Humidity,52.15%,2025-06-03 01:35:23,True
30,Humidity,62.98%,2025-06-03 01:35:41,True
30,Humidity,7.0%,2025-06-03 01:36:13,True
31,Boiler Pressure,93.83 psi,2025-06-03 01:35:42,True
32,Boiler Pressure,59.26 psi,2025-06-03 01:36:13,True
33,Water Flow,42.62 gal/hr,2025-06-03 01:36:04,False
34,Boiler Pressure,72.17 psi,2025-06-03 01:36:15,True
34,Humidity,17.64%,2025-06-03 01:35:41,True
35,CO2,57.64 ppm,2025-06-03 01:35:51,True
35,CO2,86.24 ppm,2025-06-03 01:36:08,False
36,CO2,39.82 ppm,2025-06-03 01:35:36,True
37,Humidity,42.27%,2025-06-03 01:35:43,False
37,Boiler Pressure,81.96 psi,2025-06-03 01:35:18,False
38,Humidity,42.74%,2025-06-03 01:35:47,True
39,Boiler Pressure,55.29 psi,2025-06-03 01:36:07,True
39,CO2,38.05 ppm,2025-06-03 01:35:37,False
40,CO2,37.51 ppm,2025-06-03 01:36:12,False
40,Water Flow,33.32 gal/hr,2025-06-03 01:35:41,False
41,Boiler Pressure,91.61 psi,2025-06-03 01:35:28,True
42,CO2,49.15 ppm,2025-06-03 01:35:17,False
43,CO2,38.4 ppm,2025-06-03 01:36:17,False
43,Water Flow,40.88 gal/hr,2025-06-03 01:35:41,True
44,Humidity,93.21%,2025-06-03 01:35:52,True
45,Humidity,95.71%,2025-06-03 01:36:07,False
46,Humidity,63.5%,2025-06-03 01:36:12,False
46,Water Flow,65.09 gal/hr,2025-06-03 01:36:11,False
46,Boiler Pressure,24.24 psi,2025-06-03 01:36:05,True
47,Water Flow,69.75 gal/hr,2025-06-03 01:35:33,True
47,CO2,60.54 ppm,2025-06-03 01:35:31,True
48,Boiler Pressure,60.21 psi,2025-06-03 01:35:42,True
48,Water Flow,11.67 gal/hr,2025-06-03 01:35:54,True
49,Humidity,39.77%,2025-06-03 01:35:21,True
49,Boiler Pressure,87.6 psi,2025-06-03 01:35:28,True
49,Humidity,25.29%,2025-06-03 01:35:49,False
50,Humidity,58.61%,2025-06-03 01:35:33,False
50,Water Flow,10.93 gal/hr,2025-06-03 01:36:17,False
50,Boiler Pressure,26.9 psi,2025-06-03 01:35:32,True
51,Humidity,69.9%,2025-06-03 01:35:37,True
51,Boiler Pressure,81.64 psi,2025-06-03 01:35:17,True
51,Water Flow,6.98 gal/hr,2025-06-03 01:35:56,False
52,Humidity,65.45%,2025-06-03 01:35:52,False
