log_id,property_id,issue_type,severity,date,cost,resolved,notes
1,1,Electrical Fault,Medium,2024-10-29,337.76,True,Exercitationem ratione pariatur magnam.
2,1,Window Repair,High,2025-04-30,1776.66,False,Illo quaerat aspernatur fugiat culpa illum voluptatum.
3,1,Damp/Mould,Low,2025-01-09,1918.03,False,Doloribus odit neque occaecati.
4,1,Boiler Failure,Medium,2023-12-04,1839.07,True,Delectus perspiciatis itaque aspernatur natus.
5,2,Damp/Mould,High,2024-03-13,1351.78,False,Excepturi optio eius ratione enim iusto minus delectus.
6,2,Window Repair,High,2025-03-09,1244.67,False,In nesciunt quos ex repudiandae ut dolores quidem.
7,2,Window Repair,Critical,2025-05-18,919.53,True,A quas alias.
8,2,Pest Infestation,High,2025-03-15,927.64,True,Est animi tempora soluta veritatis velit fugit.
9,3,Window Repair,High,2024-08-04,994.96,True,Deleniti dolorum doloribus.
10,3,Roof Leak,Medium,2023-10-08,1441.41,True,Dignissimos quas id facilis.
11,3,Roof Leak,Medium,2024-04-25,1791.4,True,Tempore quos eum quisquam.
12,4,Damp/Mould,Low,2025-05-27,1403.2,True,Beatae eum reiciendis quae tempora.
13,4,Boiler Failure,Medium,2024-03-13,695.22,False,Reiciendis quo assumenda voluptas corporis doloribus.
14,5,Boiler Failure,Low,2025-02-05,869.28,True,Incidunt harum totam debitis.
15,5,Window Repair,High,2024-11-17,1172.6,False,Illo sequi quo dicta quaerat a ab iusto.
16,5,Boiler Failure,Critical,2024-10-31,632.29,False,Unde dignissimos explicabo officiis officia repellat recusandae.
17,5,Window Repair,High,2025-01-03,1679.67,True,Necessitatibus aperiam id quidem enim exercitationem.
18,6,Damp/Mould,Low,2024-10-23,997.0,False,Ut officiis exercitationem non.
19,6,Roof Leak,Medium,2024-10-13,1606.38,True,Eaque quisquam modi earum.
20,6,Window Repair,Medium,2025-02-21,298.87,True,Nostrum unde deleniti nobis officia.
21,6,Electrical Fault,Medium,2025-01-18,1342.85,True,Alias cupiditate natus rerum ipsum error.
22,7,Damp/Mould,High,2023-12-19,404.37,False,Atque fuga iure cupiditate nisi blanditiis.
23,7,Electrical Fault,Medium,2024-03-02,936.66,False,Aperiam iusto aspernatur autem earum modi voluptatibus.
24,7,Window Repair,High,2025-04-06,592.6,False,Modi sequi dolor assumenda dolorem voluptatum dignissimos officia.
25,7,Roof Leak,High,2023-11-24,967.1,True,Maxime adipisci quasi non nihil recusandae consectetur.
26,8,Damp/Mould,Medium,2024-04-26,1573.4,True,Saepe nihil ex facere.
27,8,Window Repair,Low,2024-10-24,532.2,True,Placeat cumque eius ex libero dicta.
28,8,Pipe Burst,Low,2023-08-23,296.13,True,Consectetur fugiat reprehenderit odio nobis maiores repellat.
29,9,Damp/Mould,Medium,2024-12-23,549.68,False,Laborum facilis saepe accusamus minus.
30,9,Damp/Mould,Medium,2024-11-06,1929.28,True,Minus error nihil optio facilis maxime sit.
31,9,Window Repair,High,2023-09-06,1931.21,True,Nihil laudantium vitae beatae ipsum soluta perspiciatis.
32,9,Pipe Burst,Low,2024-02-10,658.32,False,Atque sed similique placeat minima culpa.
33,9,Electrical Fault,Critical,2023-10-07,436.74,True,Sed labore delectus optio nam.
34,10,Pest Infestation,High,2025-03-24,1708.07,True,Assumenda repellat occaecati molestiae.
35,11,Window Repair,Low,2025-03-18,1088.85,False,Aliquid id adipisci quam voluptates nulla consectetur esse.
36,11,Boiler Failure,Medium,2025-05-19,715.4,False,Aspernatur ex quo aut.
37,11,Window Repair,Medium,2025-02-14,895.37,False,Suscipit eveniet quis nihil illo neque.
38,11,Pest Infestation,High,2025-02-21,946.49,True,Itaque saepe officia nemo est doloremque.
39,11,Electrical Fault,Low,2025-05-23,1067.41,False,Cumque qui nihil est unde aperiam quis.
40,12,Window Repair,Critical,2025-02-16,1560.55,False,Adipisci aut nisi dolorum officiis deleniti.
41,12,Electrical Fault,High,2024-10-08,1205.33,False,Repellat vero corporis magni assumenda asperiores ad.
42,12,Window Repair,Low,2024-09-16,1872.51,False,Recusandae quidem praesentium cum debitis.
43,12,Electrical Fault,Low,2025-02-03,956.18,False,Quis eos error minima.
44,12,Roof Leak,Low,2024-08-22,1709.36,True,Molestias adipisci fuga impedit.
45,13,Damp/Mould,Medium,2025-05-28,553.79,False,Consectetur molestiae voluptatem soluta.
46,13,Pipe Burst,High,2025-05-30,588.72,True,Quam rerum cumque fugiat maiores minus quae.
47,13,Pipe Burst,Critical,2025-04-11,216.95,False,Occaecati illo autem ipsam.
48,13,Electrical Fault,Medium,2025-04-29,518.63,False,Distinctio maxime laudantium voluptas voluptates perspiciatis incidunt consectetur.
49,14,Electrical Fault,High,2025-03-09,231.45,True,Quis suscipit explicabo voluptatem quia.
50,14,Electrical Fault,Medium,2025-01-13,647.1,False,Earum ad id perferendis delectus et.
51,14,Electrical Fault,Medium,2025-01-11,720.33,False,Cumque libero quis qui odio dolorem.
52,14,Roof Leak,High,2025-01-16,578.29,False,Corrupti eveniet reiciendis iusto.
53,15,Boiler Failure,High,2025-05-10,665.32,True,Qui voluptatem inventore non minus dolor quae.
54,15,Damp/Mould,Low,2025-05-19,994.19,False,Perferendis a quisquam dolores animi pariatur quia recusandae.
55,16,Window Repair,Low,2025-02-27,493.59,True,Ut ad modi placeat magnam ea.
56,17,Boiler Failure,High,2025-04-07,296.84,True,Maiores expedita distinctio.
57,17,Boiler Failure,Medium,2025-02-04,1409.96,True,Voluptatem facilis dolore hic facilis illum.
58,17,Pest Infestation,High,2025-04-30,1007.21,True,Amet soluta accusantium dicta necessitatibus.
59,18,Roof Leak,Medium,2024-12-20,908.91,True,Dolores iure at sit repellat explicabo.
60,18,Boiler Failure,Low,2025-01-08,1730.36,True,Inventore hic illo nobis sequi omnis delectus quos.
61,18,Window Repair,Low,2025-02-27,1008.91,True,Exercitationem nam sed esse odio illum.
62,18,Damp/Mould,Low,2025-03-18,1147.54,False,Voluptates mollitia illo eveniet.
63,18,Boiler Failure,Critical,2025-03-17,280.98,False,Quidem qui alias hic.
64,19,Pipe Burst,High,2024-07-26,490.09,False,Magni soluta temporibus unde accusamus saepe necessitatibus.
65,19,Electrical Fault,Critical,2024-07-30,629.84,False,Doloremque earum facilis magni consectetur.
66,19,Roof Leak,Medium,2025-04-26,167.45,True,Placeat necessitatibus velit nam voluptate.
67,19,Window Repair,Low,2025-05-27,461.5,True,Consequatur ullam illo debitis eius.
68,19,Damp/Mould,Low,2024-03-20,1126.38,True,Fuga vitae eligendi doloribus nobis.
69,20,Electrical Fault,Medium,2024-01-10,1207.93,False,Voluptate saepe ipsum corrupti totam soluta excepturi.
70,21,Damp/Mould,Low,2025-05-14,601.3,False,Ipsam incidunt exercitationem nihil molestias at.
71,22,Pest Infestation,Low,2025-03-05,565.88,True,Nam sint illum odit dolore non.
72,23,Boiler Failure,Medium,2025-04-10,1312.89,False,Perferendis facilis eum pariatur.
73,23,Window Repair,Low,2025-02-13,166.29,False,Eligendi reiciendis ipsam ratione.
74,23,Pipe Burst,High,2024-11-25,1159.95,False,Porro ea reprehenderit explicabo sequi.
75,23,Electrical Fault,Low,2024-11-20,1392.92,False,Atque fuga voluptatem ex.
76,24,Pipe Burst,Medium,2025-05-30,903.63,True,Error eligendi ea vero eligendi officiis.
77,24,Electrical Fault,High,2025-04-05,1227.24,True,Dolorum sint sapiente officia.
78,24,Boiler Failure,Low,2025-04-19,1364.88,True,Vel voluptas dolorum illo necessitatibus quae exercitationem temporibus.
