property_id,month,avg_temp_c,rainfall_mm,pest_alert,maintenance_risk_score
1,January,19,2.6,Damp Woodlice,5
1,February,6,4.1,Wasps,9
1,March,15,4.9,None,3
1,April,14,1.6,None,2
1,May,16,4.3,None,4
1,June,3,1.7,None,10
1,July,3,4.4,None,10
1,August,19,1.5,None,6
1,September,11,4.8,None,4
1,October,5,3.9,Rodents,4
1,November,21,3.7,None,4
1,December,19,1.9,None,8
2,January,19,3.4,None,6
2,February,18,4.5,None,8
2,March,12,4.6,None,7
2,April,3,3.0,None,3
2,May,2,1.7,Wasps,10
2,June,15,1.8,None,4
2,July,14,3.1,None,9
2,August,22,4.7,None,8
2,September,22,3.8,None,6
2,October,7,1.1,None,3
2,November,19,5.0,Wasps,9
2,December,3,4.3,None,1
3,January,2,2.4,Damp Woodlice,4
3,February,4,3.7,None,9
3,March,16,2.2,None,10
3,April,17,3.5,None,9
3,May,19,2.4,None,5
3,June,19,4.9,None,7
3,July,7,1.0,None,3
3,August,9,1.4,None,6
3,September,10,4.1,None,7
3,October,16,3.0,Wasps,4
3,November,11,3.6,Damp Woodlice,1
3,December,4,2.3,None,8
4,January,3,3.4,Rodents,2
4,February,17,4.3,None,6
4,March,20,4.9,Wasps,9
4,April,3,1.5,Wasps,10
4,May,17,1.7,Wasps,5
4,June,19,3.0,None,6
4,July,2,4.8,None,7
4,August,4,1.8,None,10
4,September,14,3.5,None,7
4,October,6,4.1,None,2
4,November,18,3.9,None,2
4,December,15,1.5,None,10
5,January,21,4.8,None,6
5,February,2,3.4,Rodents,8
5,March,17,1.5,None,7
5,April,15,1.3,None,7
5,May,4,4.0,None,4
5,June,4,0.9,None,3
5,July,14,1.9,None,1
5,August,11,2.5,Rodents,2
5,September,6,0.9,None,9
5,October,19,2.8,None,2
5,November,13,3.0,None,6
5,December,14,0.6,None,2
6,January,19,4.6,Wasps,10
6,February,18,1.3,None,3
6,March,10,1.9,None,2
6,April,7,2.5,None,8
6,May,4,2.1,Wasps,8
6,June,21,3.3,None,3
6,July,11,0.5,None,10
6,August,14,4.1,None,6
6,September,15,4.2,Damp Woodlice,10
6,October,6,1.9,None,4
6,November,17,1.9,Wasps,6
6,December,11,3.8,None,10
7,January,9,2.0,None,7
7,February,13,1.0,None,10
7,March,19,1.3,Rodents,1
7,April,16,4.7,None,5
7,May,4,4.2,Rodents,7
7,June,17,1.1,None,5
7,July,6,3.7,Rodents,2
7,August,16,5.0,None,7
7,September,19,2.8,Wasps,7
7,October,19,0.7,Wasps,9
7,November,21,3.4,None,4
7,December,13,1.2,None,10
8,January,22,3.5,None,6
8,February,15,1.0,None,4
8,March,18,3.9,None,10
8,April,9,2.5,None,10
8,May,18,1.2,Wasps,8
8,June,5,1.8,Wasps,2
8,July,5,4.2,Rodents,6
8,August,11,2.0,Rodents,9
8,September,17,2.1,None,8
8,October,12,0.8,None,2
8,November,2,4.3,None,3
8,December,9,2.8,None,6
9,January,19,2.4,None,7
9,February,22,1.3,None,7
9,March,14,0.6,None,4
9,April,16,3.2,None,4
9,May,8,1.8,Rodents,2
9,June,20,1.0,Damp Woodlice,3
9,July,13,2.0,None,5
9,August,17,2.9,None,10
9,September,14,3.3,None,6
9,October,13,4.3,None,5
9,November,21,3.2,None,6
9,December,5,1.6,None,6
10,January,6,2.8,None,3
10,February,20,2.2,None,9
10,March,22,4.7,None,3
10,April,17,1.8,None,8
10,May,21,0.7,None,1
10,June,17,1.1,Damp Woodlice,9
10,July,18,3.4,None,8
10,August,15,3.7,None,3
10,September,4,3.0,Rodents,4
10,October,11,0.6,None,5
10,November,7,4.0,None,8
10,December,19,2.8,None,5
11,January,19,4.2,None,1
11,February,16,3.0,Wasps,2
11,March,22,3.9,None,1
11,April,16,1.7,Damp Woodlice,2
11,May,16,4.4,None,4
11,June,8,4.1,None,6
11,July,21,3.3,None,3
11,August,8,4.2,Damp Woodlice,10
11,September,13,2.9,None,3
11,October,12,4.9,None,10
11,November,10,4.8,None,2
11,December,6,4.8,Rodents,1
12,January,10,4.4,None,3
12,February,9,1.2,None,4
12,March,14,2.7,None,5
12,April,22,2.4,None,2
12,May,14,2.8,None,6
12,June,16,4.8,None,1
12,July,4,3.8,None,6
12,August,4,4.1,None,7
12,September,8,2.7,None,5
12,October,12,3.0,None,8
12,November,12,4.5,Rodents,1
12,December,5,3.3,Damp Woodlice,1
13,January,5,4.7,None,8
13,February,2,5.0,None,3
13,March,22,1.9,Damp Woodlice,5
13,April,4,3.4,None,6
13,May,22,1.2,None,5
13,June,9,2.4,None,2
13,July,2,1.5,None,10
13,August,9,2.8,None,1
13,September,12,4.2,Wasps,7
13,October,6,2.6,None,2
13,November,5,1.0,None,5
13,December,6,2.2,Damp Woodlice,3
14,January,22,5.0,None,9
14,February,20,0.5,None,8
14,March,13,3.8,None,3
14,April,15,3.3,None,4
14,May,4,4.5,None,2
14,June,20,3.8,None,7
14,July,12,4.1,None,2
14,August,9,3.0,None,10
14,September,11,4.0,None,5
14,October,8,2.8,None,7
14,November,11,3.4,Rodents,4
14,December,17,2.2,None,10
15,January,4,2.9,Wasps,6
15,February,12,1.1,Damp Woodlice,10
15,March,15,2.1,None,8
15,April,4,0.6,None,5
15,May,8,0.7,None,7
15,June,18,1.8,Rodents,7
15,July,15,3.7,None,9
15,August,19,3.3,None,5
15,September,4,2.8,None,3
15,October,19,2.0,None,2
15,November,11,3.6,Rodents,4
15,December,3,1.6,Wasps,2
16,January,16,3.3,None,3
16,February,5,0.6,None,1
16,March,7,2.7,None,9
16,April,10,1.3,None,5
16,May,5,4.0,None,7
16,June,10,2.9,None,10
16,July,22,0.8,None,6
16,August,3,2.7,None,6
16,September,7,1.6,None,10
16,October,5,1.5,None,1
16,November,2,1.6,None,7
16,December,6,1.3,Wasps,1
17,January,19,4.1,Rodents,7
17,February,9,1.9,None,6
17,March,10,4.2,None,2
17,April,18,3.5,None,4
17,May,18,4.9,Wasps,2
17,June,16,4.4,Rodents,5
17,July,12,0.9,None,6
17,August,8,1.8,Rodents,10
17,September,9,2.6,None,8
17,October,8,3.8,None,4
17,November,6,0.5,None,4
17,December,19,2.1,Damp Woodlice,1
18,January,12,0.5,None,5
18,February,5,1.4,Wasps,7
18,March,17,4.8,Wasps,3
18,April,10,0.9,Wasps,9
18,May,15,3.7,None,2
18,June,20,0.9,None,7
18,July,4,3.2,None,3
18,August,9,1.8,Damp Woodlice,7
18,September,12,1.9,None,2
18,October,8,1.1,Rodents,2
18,November,6,1.0,None,6
18,December,15,1.0,None,4
19,January,16,1.9,None,2
19,February,4,1.2,None,10
19,March,3,1.5,Damp Woodlice,3
19,April,4,3.7,Wasps,7
19,May,18,0.7,None,3
19,June,2,4.8,Damp Woodlice,9
19,July,19,1.6,None,3
19,August,5,0.6,Damp Woodlice,4
19,September,6,1.4,None,2
19,October,20,3.1,Wasps,2
19,November,2,5.0,None,8
19,December,6,0.9,Damp Woodlice,6
20,January,5,0.7,None,3
20,February,20,2.4,Rodents,8
20,March,2,2.2,None,6
20,April,8,4.6,None,8
20,May,6,0.7,None,4
20,June,22,1.8,None,9
20,July,17,0.8,None,3
20,August,15,1.4,Damp Woodlice,9
20,September,9,3.3,Damp Woodlice,1
20,October,14,4.0,None,9
20,November,17,2.0,None,6
20,December,14,1.7,None,10
21,January,9,0.6,Damp Woodlice,5
21,February,3,4.1,None,6
21,March,20,5.0,Wasps,2
21,April,9,3.5,None,1
21,May,9,3.1,Wasps,7
21,June,13,4.7,Wasps,3
21,July,7,1.6,None,6
21,August,20,0.6,Rodents,10
21,September,20,1.1,Wasps,8
21,October,19,1.9,None,2
21,November,3,1.5,None,9
21,December,17,0.5,Wasps,4
22,January,6,2.0,None,6
22,February,3,0.6,None,3
22,March,5,4.3,Damp Woodlice,2
22,April,13,3.7,None,10
22,May,5,2.0,None,3
22,June,15,4.1,Wasps,6
22,July,7,3.7,None,10
22,August,13,1.5,None,3
22,September,14,1.9,None,3
22,October,7,3.8,Wasps,10
22,November,14,4.3,Rodents,10
22,December,3,1.3,None,10
23,January,9,3.4,None,8
23,February,6,2.0,None,6
23,March,12,1.3,Damp Woodlice,2
23,April,22,3.8,None,1
23,May,10,1.4,None,6
23,June,10,4.0,Rodents,1
23,July,14,2.5,None,3
23,August,15,2.7,None,9
23,September,14,1.0,None,10
23,October,22,3.9,None,8
23,November,4,4.1,None,1
23,December,12,1.7,None,6
24,January,7,4.5,None,2
24,February,19,4.7,Wasps,6
24,March,21,4.9,Damp Woodlice,1
24,April,15,4.7,None,7
24,May,7,0.7,None,4
24,June,15,3.6,Rodents,9
24,July,10,3.5,None,2
24,August,3,2.3,None,8
24,September,6,0.7,None,2
24,October,11,4.2,None,8
24,November,8,0.9,None,5
24,December,4,2.6,None,7
25,January,17,2.7,None,2
25,February,22,2.9,None,7
25,March,13,1.3,None,8
25,April,16,1.7,Damp Woodlice,10
25,May,3,1.2,None,2
25,June,4,3.5,Damp Woodlice,7
25,July,20,1.5,None,7
25,August,18,2.4,None,8
25,September,20,4.5,None,2
25,October,14,4.6,Rodents,9
25,November,20,4.6,Damp Woodlice,10
25,December,6,1.0,Rodents,3
26,January,7,4.9,Damp Woodlice,3
26,February,3,2.4,Wasps,7
26,March,8,5.0,None,10
26,April,10,1.9,Rodents,2
26,May,4,2.2,None,6
26,June,10,2.8,Wasps,1
26,July,21,3.1,Rodents,2
26,August,15,1.2,None,10
26,September,5,4.7,None,2
26,October,11,4.4,Damp Woodlice,7
26,November,10,2.2,None,10
26,December,17,0.7,None,3
27,January,21,3.2,None,1
27,February,14,4.5,None,4
27,March,3,3.9,Wasps,6
27,April,2,2.0,Rodents,5
27,May,10,4.3,Damp Woodlice,2
27,June,9,1.1,Wasps,8
27,July,12,1.7,None,2
27,August,8,2.5,Wasps,7
27,September,17,3.9,Damp Woodlice,1
27,October,18,4.1,None,9
27,November,14,1.1,Damp Woodlice,10
27,December,2,1.3,Damp Woodlice,4
28,January,3,1.6,None,6
28,February,8,1.7,Damp Woodlice,9
28,March,14,3.4,None,1
28,April,9,2.2,None,3
28,May,17,3.1,None,3
28,June,10,3.9,None,5
28,July,2,2.2,None,10
28,August,8,4.4,None,4
28,September,10,3.4,None,1
28,October,17,4.6,None,10
28,November,2,1.5,None,5
28,December,22,1.7,Damp Woodlice,6
29,January,16,1.6,None,9
29,February,21,2.3,None,9
29,March,13,3.0,None,5
29,April,11,3.6,None,6
29,May,10,3.4,Damp Woodlice,5
29,June,22,3.7,Damp Woodlice,5
29,July,8,1.2,Rodents,1
29,August,21,2.3,None,3
29,September,2,3.4,Wasps,5
29,October,15,2.3,Rodents,10
29,November,20,4.2,None,4
29,December,19,3.4,None,6
30,January,18,1.9,None,9
30,February,7,1.8,None,5
30,March,19,3.9,None,6
30,April,22,0.9,None,5
30,May,15,4.0,None,5
30,June,20,1.8,Damp Woodlice,8
30,July,3,4.4,None,10
30,August,4,2.6,None,2
30,September,14,2.9,None,3
30,October,6,5.0,None,10
30,November,16,1.1,Damp Woodlice,3
30,December,4,2.7,None,3
31,January,12,3.4,None,5
31,February,8,3.9,None,3
31,March,17,4.0,Rodents,3
31,April,21,2.5,None,7
31,May,17,2.2,None,4
31,June,13,4.8,Damp Woodlice,9
31,July,8,0.6,None,4
31,August,9,3.6,None,3
31,September,5,2.2,None,3
31,October,4,4.2,None,5
31,November,16,3.8,None,6
31,December,15,4.5,Wasps,6
32,January,17,2.1,None,7
32,February,2,1.5,Rodents,3
32,March,8,3.8,None,3
32,April,5,2.1,None,1
32,May,14,4.4,None,9
32,June,21,0.7,Wasps,2
32,July,22,4.3,None,2
32,August,15,2.5,None,5
32,September,17,3.7,None,1
32,October,11,2.4,None,9
32,November,10,3.3,Rodents,7
32,December,5,2.8,None,5
33,January,5,4.0,None,10
33,February,8,4.0,Damp Woodlice,4
33,March,13,3.7,None,1
33,April,19,2.7,None,8
33,May,12,1.6,None,2
33,June,5,4.3,None,3
33,July,4,4.0,None,2
33,August,10,3.4,None,5
33,September,10,2.6,None,3
33,October,3,4.3,None,6
33,November,15,3.8,None,1
33,December,2,4.3,None,3
34,January,12,2.1,None,10
34,February,10,4.5,None,6
34,March,7,1.0,None,8
34,April,10,4.3,None,8
34,May,15,3.4,Rodents,2
34,June,6,3.6,None,3
34,July,5,2.4,None,10
34,August,16,1.3,None,6
34,September,21,0.6,None,3
34,October,17,4.6,None,7
34,November,16,0.7,None,6
34,December,2,3.7,None,10
35,January,20,1.5,Wasps,6
35,February,18,2.9,Rodents,2
35,March,15,3.5,None,6
35,April,22,2.2,Damp Woodlice,9
35,May,21,0.7,None,3
35,June,18,4.3,Damp Woodlice,3
35,July,4,3.9,None,6
35,August,10,0.7,None,7
35,September,14,4.2,None,8
35,October,20,2.5,Damp Woodlice,8
35,November,12,1.0,None,1
35,December,5,2.3,None,9
36,January,2,4.2,Rodents,10
36,February,22,1.9,None,4
36,March,22,3.5,Wasps,6
36,April,3,4.2,Damp Woodlice,6
36,May,19,4.0,None,6
36,June,16,1.0,Rodents,4
36,July,2,2.0,Damp Woodlice,5
36,August,19,2.8,Rodents,1
36,September,7,2.7,Damp Woodlice,7
36,October,5,1.6,None,2
36,November,14,1.5,Damp Woodlice,4
36,December,12,1.0,None,10
37,January,5,4.0,None,10
37,February,18,1.1,None,9
37,March,3,3.0,None,10
37,April,17,4.7,Rodents,3
37,May,20,1.3,Damp Woodlice,2
37,June,14,3.5,None,6
37,July,18,4.5,None,10
37,August,9,1.7,Wasps,5
37,September,16,4.1,None,10
37,October,18,1.8,Rodents,6
37,November,19,3.3,None,10
37,December,11,3.6,Wasps,3
38,January,22,4.9,None,9
38,February,22,2.0,None,6
38,March,19,2.7,None,7
38,April,19,1.8,Damp Woodlice,1
38,May,18,1.0,None,1
38,June,3,1.4,Rodents,3
38,July,11,3.6,None,1
38,August,11,1.4,None,6
38,September,16,1.0,Damp Woodlice,9
38,October,9,3.8,None,4
38,November,18,4.0,Rodents,5
38,December,3,4.7,None,6
39,January,19,0.7,Rodents,4
39,February,21,4.4,Damp Woodlice,8
39,March,9,4.6,Rodents,6
39,April,20,3.0,None,4
39,May,11,2.5,Wasps,2
39,June,7,4.8,Rodents,2
39,July,14,0.7,None,5
39,August,6,1.2,Damp Woodlice,1
39,September,12,2.6,Wasps,1
39,October,6,4.7,None,10
39,November,11,2.7,None,6
39,December,4,4.0,None,4
40,January,7,2.8,Rodents,3
40,February,15,2.9,None,6
40,March,9,4.5,None,6
40,April,13,1.8,Wasps,10
40,May,18,2.6,None,1
40,June,5,3.5,None,10
40,July,21,1.6,None,6
40,August,14,4.6,Wasps,7
40,September,10,2.9,None,9
40,October,13,2.8,None,8
40,November,3,1.8,None,6
40,December,18,0.9,None,9
41,January,19,0.5,None,4
41,February,15,4.3,None,7
41,March,22,4.2,None,3
41,April,2,2.6,None,2
41,May,4,0.7,Rodents,9
41,June,4,3.1,None,5
41,July,15,2.2,None,7
41,August,12,0.6,None,9
41,September,2,3.4,None,10
41,October,3,3.7,None,9
41,November,5,1.8,None,10
41,December,4,1.8,Wasps,7
42,January,14,4.2,None,3
42,February,19,1.5,Rodents,9
42,March,11,4.8,None,6
42,April,2,3.0,None,2
42,May,3,0.5,None,9
42,June,19,4.8,None,6
42,July,8,2.4,None,9
42,August,6,1.2,None,5
42,September,8,1.0,None,10
42,October,3,4.3,Wasps,9
42,November,16,3.4,None,2
42,December,10,0.9,Rodents,8
43,January,12,2.1,None,4
43,February,5,1.8,None,4
43,March,12,2.7,None,5
43,April,20,1.2,None,6
43,May,15,1.3,None,4
43,June,22,2.5,Damp Woodlice,3
43,July,12,4.5,None,6
43,August,11,2.7,None,10
43,September,4,4.3,Damp Woodlice,3
43,October,19,1.4,Rodents,2
43,November,4,4.5,Damp Woodlice,1
43,December,20,3.1,Rodents,4
44,January,3,3.0,None,9
44,February,17,3.4,None,7
44,March,9,4.5,None,5
44,April,6,2.6,None,7
44,May,13,2.8,None,10
44,June,7,3.9,None,3
44,July,7,3.0,None,3
44,August,17,4.7,None,8
44,September,9,0.8,None,1
44,October,8,2.8,Rodents,7
44,November,17,4.6,Damp Woodlice,1
44,December,22,2.0,Rodents,9
45,January,22,4.2,Damp Woodlice,5
45,February,20,2.9,None,7
45,March,13,3.1,Damp Woodlice,2
45,April,18,1.6,Wasps,4
45,May,18,2.3,Damp Woodlice,6
45,June,17,4.1,Damp Woodlice,1
45,July,18,4.5,None,4
45,August,4,2.8,None,3
45,September,7,1.2,None,2
45,October,9,2.4,None,2
45,November,17,3.5,None,10
45,December,7,3.4,None,4
46,January,3,1.1,None,3
46,February,22,2.8,Damp Woodlice,3
46,March,3,1.2,Wasps,9
46,April,14,3.2,None,1
46,May,11,4.8,None,10
46,June,17,4.4,None,7
46,July,21,1.1,None,3
46,August,21,3.5,None,6
46,September,16,3.2,None,7
46,October,14,1.1,None,9
46,November,18,3.6,Damp Woodlice,10
46,December,5,1.3,Wasps,10
47,January,3,4.4,None,2
47,February,4,2.7,None,10
47,March,19,4.2,Damp Woodlice,7
47,April,18,2.4,Damp Woodlice,9
47,May,15,1.5,Damp Woodlice,7
47,June,13,3.2,Rodents,10
47,July,5,2.4,None,4
47,August,4,1.8,Damp Woodlice,7
47,September,10,1.4,Rodents,1
47,October,20,2.9,None,7
47,November,22,1.4,Damp Woodlice,7
47,December,13,1.0,None,10
48,January,10,1.7,None,10
48,February,13,3.3,Wasps,7
48,March,8,2.4,Rodents,8
48,April,7,2.2,None,5
48,May,11,3.1,Rodents,7
48,June,6,4.3,None,4
48,July,16,4.0,Wasps,2
48,August,8,2.8,Rodents,9
48,September,21,3.6,Rodents,3
48,October,14,4.8,None,2
48,November,6,2.6,None,2
48,December,4,1.7,None,10
49,January,3,3.8,Wasps,7
49,February,21,3.5,None,10
49,March,3,4.8,Damp Woodlice,8
49,April,16,0.5,Damp Woodlice,9
49,May,11,1.4,Rodents,9
49,June,18,3.6,None,1
49,July,13,1.6,None,3
49,August,4,5.0,Rodents,6
49,September,14,2.3,None,1
49,October,4,4.6,None,9
49,November,20,2.1,Wasps,5
49,December,9,3.2,None,7
50,January,20,0.5,None,9
50,February,5,3.0,None,6
50,March,5,4.1,Wasps,9
50,April,20,1.6,None,7
50,May,20,2.7,None,6
50,June,16,3.6,Damp Woodlice,1
50,July,17,1.0,None,4
50,August,9,4.1,None,6
50,September,18,2.9,Rodents,5
50,October,9,1.8,None,6
50,November,4,3.0,None,6
50,December,13,1.5,None,3
51,January,8,2.7,None,4
51,February,10,1.4,None,4
51,March,21,2.1,Rodents,2
51,April,4,3.5,None,10
51,May,2,3.9,None,1
51,June,17,2.2,None,10
51,July,10,2.7,Wasps,9
51,August,10,2.3,Rodents,3
51,September,3,2.9,None,9
51,October,3,2.8,None,3
51,November,16,4.9,None,8
51,December,12,3.6,None,4
52,January,14,3.1,None,10
52,February,10,1.3,None,5
52,March,17,4.8,None,3
52,April,17,2.4,None,6
52,May,13,4.3,None,3
52,June,20,1.1,None,4
52,July,5,3.7,Damp Woodlice,9
52,August,15,4.4,None,3
52,September,17,4.1,None,8
52,October,6,5.0,Damp Woodlice,9
52,November,19,3.7,Rodents,5
52,December,10,3.0,None,7
53,January,5,3.6,None,5
53,February,17,4.3,None,6
53,March,10,2.1,None,5
53,April,13,0.6,None,10
53,May,8,3.1,None,9
53,June,7,4.9,None,6
53,July,18,2.7,Rodents,2
53,August,14,3.3,None,3
53,September,7,3.4,Wasps,7
53,October,22,3.3,None,2
53,November,4,1.2,None,6
53,December,22,1.8,None,7
54,January,10,4.5,Rodents,6
54,February,20,2.8,None,3
54,March,7,4.3,None,4
54,April,10,4.7,Rodents,2
54,May,8,1.3,None,2
54,June,17,3.0,None,7
54,July,18,3.9,None,5
54,August,21,1.2,None,7
54,September,11,1.5,Rodents,8
54,October,22,1.1,None,3
54,November,2,0.7,None,6
54,December,17,2.6,Damp Woodlice,5
55,January,19,2.5,Wasps,9
55,February,7,3.2,None,10
55,March,15,2.9,None,5
55,April,13,2.7,None,2
55,May,16,1.9,None,3
55,June,11,0.5,None,3
55,July,13,1.8,None,8
55,August,17,1.8,Rodents,5
55,September,21,1.5,None,6
55,October,8,2.4,None,7
55,November,9,1.2,Rodents,7
55,December,14,1.5,None,4
56,January,18,3.9,Wasps,5
56,February,11,3.4,None,5
56,March,15,1.3,None,3
56,April,11,1.0,None,8
56,May,10,3.7,None,6
56,June,2,1.2,Wasps,1
56,July,7,4.9,None,3
56,August,16,3.8,None,3
56,September,2,2.7,None,5
56,October,17,5.0,None,1
56,November,12,0.9,Rodents,3
56,December,3,1.7,None,9
57,January,17,1.3,Damp Woodlice,5
57,February,14,4.2,None,4
57,March,14,4.0,None,1
57,April,8,2.6,Rodents,9
57,May,8,2.6,None,5
57,June,12,1.2,Rodents,9
57,July,18,1.0,None,5
57,August,8,2.1,None,4
57,September,5,1.6,None,1
57,October,7,4.1,None,7
57,November,9,0.5,None,8
57,December,21,1.2,Rodents,4
58,January,7,2.7,None,6
58,February,22,0.8,None,3
58,March,19,4.1,None,4
58,April,12,4.9,Rodents,6
58,May,16,3.8,None,7
58,June,13,3.8,None,1
58,July,17,3.7,None,9
58,August,17,1.4,None,6
58,September,12,3.8,None,10
58,October,19,1.2,None,8
58,November,11,4.2,None,8
58,December,2,4.0,None,3
59,January,2,3.3,None,10
59,February,9,1.9,None,9
59,March,14,1.4,None,9
59,April,6,3.3,None,6
59,May,5,0.9,None,1
59,June,6,1.3,None,2
59,July,17,1.4,None,7
59,August,17,2.9,Rodents,5
59,September,3,2.1,None,2
59,October,2,4.7,None,8
59,November,4,2.6,None,6
59,December,19,3.8,Damp Woodlice,6
60,January,3,4.2,None,1
60,February,4,4.3,None,4
60,March,18,0.9,Rodents,9
60,April,14,1.4,None,4
60,May,20,3.3,None,9
60,June,15,3.9,Rodents,10
60,July,13,3.5,Rodents,7
60,August,5,1.3,None,7
60,September,18,2.0,None,10
60,October,16,4.7,Wasps,9
60,November,12,4.3,None,7
60,December,12,3.2,None,4
61,January,14,3.9,Wasps,5
61,February,13,4.8,None,7
61,March,2,3.8,Wasps,10
61,April,2,2.8,Wasps,5
