address,age_years,last_service_years_ago,seasonality,risk_score,recommended_action
1800.0,43,5,Winter,5,Monitor
809.0,11,0,Summer,4,Routine
2716.0,87,0,Spring,4,Routine
2222.0,84,5,Summer,2,Routine
1879.0,90,0,Spring,4,Routine
1011.0,103,6,Autumn,8,Immediate Action
2765.0,118,5,Summer,7,Monitor
2510.0,109,8,Spring,2,Routine
2066.0,88,6,Spring,1,Routine
239.0,76,8,Spring,1,Routine
1063.0,25,1,Winter,5,Monitor
2412.0,61,4,Winter,7,Monitor
986.0,6,2,Summer,8,Immediate Action
1217.0,73,6,Summer,6,Monitor
1624.0,16,0,Spring,1,Routine
1199.0,54,8,Autumn,6,Monitor
1199.0,37,5,Winter,1,Routine
2661.0,35,9,Summer,7,Monitor
2161.0,33,3,Autumn,7,Monitor
2292.0,101,0,Winter,3,Routine
1061.0,88,9,Spring,7,Monitor
809.0,29,6,Winter,8,Immediate Action
526.0,63,8,Autumn,6,Monitor
1993.0,7,1,Summer,4,Routine
526.0,14,4,Spring,2,Routine
2868.0,34,4,Autumn,4,Routine
2250.0,79,9,Winter,4,Routine
252.0,57,5,Spring,4,Routine
2685.0,47,7,Winter,4,Routine
1972.0,34,8,Summer,4,Routine
1570.0,54,7,Winter,2,Routine
308.0,42,2,Winter,6,Monitor
2653.0,98,4,Spring,3,Routine
1176.0,90,9,Autumn,7,Monitor
1090.0,64,3,Spring,6,Monitor
1586.0,56,9,Autumn,5,Monitor
2656.0,78,7,Spring,2,Routine
2584.0,12,4,Spring,6,Monitor
139.0,104,9,Autumn,6,Monitor
2487.0,19,4,Spring,5,Monitor
927.0,8,7,Autumn,9,Immediate Action
2544.0,37,7,Summer,2,Routine
2544.0,19,7,Autumn,1,Routine
2584.0,13,3,Autumn,7,Monitor
2584.0,26,3,Summer,2,Routine
2693.0,31,6,Autumn,7,Monitor
2773.0,43,0,Autumn,3,Routine
714.0,71,0,Winter,1,Routine
1684.0,86,4,Spring,7,Monitor
134.0,38,4,Winter,4,Routine
421.0,79,9,Winter,1,Routine
388.0,77,4,Summer,2,Routine
1025.0,18,3,Summer,2,Routine
2464.0,34,5,Summer,7,Monitor
2464.0,35,6,Autumn,1,Routine
1216.0,23,8,Summer,4,Routine
1130.0,106,5,Spring,8,Immediate Action
1392.0,27,1,Spring,8,Immediate Action
302.0,42,4,Winter,6,Monitor
1745.0,49,2,Spring,8,Immediate Action
574.0,37,9,Winter,3,Routine
1369.0,30,5,Spring,8,Immediate Action
574.0,74,6,Summer,5,Monitor
1536.0,53,2,Spring,9,Immediate Action
1506.0,94,0,Summer,6,Monitor
1506.0,97,0,Spring,2,Routine
1531.0,22,6,Summer,4,Routine
843.0,46,0,Autumn,7,Monitor
2697.0,23,1,Summer,6,Monitor
1839.0,82,3,Winter,7,Monitor
2015.0,40,4,Summer,7,Monitor
843.0,58,3,Autumn,8,Immediate Action
763.0,38,9,Autumn,1,Routine
763.0,24,0,Spring,5,Monitor
763.0,89,6,Winter,7,Monitor
894.0,30,2,Autumn,5,Monitor
843.0,61,7,Winter,4,Routine
2111.0,93,4,Summer,4,Routine
2700.0,32,9,Spring,8,Immediate Action
1095.0,8,1,Autumn,4,Routine
575.0,32,9,Winter,7,Monitor
270.0,52,8,Winter,3,Routine
196.0,113,6,Summer,8,Immediate Action
912.0,70,0,Autumn,7,Monitor
842.0,71,7,Autumn,6,Monitor
454.0,102,8,Summer,5,Monitor
748.0,37,8,Spring,3,Routine
675.0,74,1,Spring,8,Immediate Action
2207.0,66,5,Winter,2,Routine
2623.0,13,0,Spring,8,Immediate Action
741.0,104,8,Winter,6,Monitor
2508.0,9,0,Spring,3,Routine
1959.0,26,3,Spring,7,Monitor
1227.0,86,7,Summer,9,Immediate Action
913.0,12,2,Winter,8,Immediate Action
1637.0,77,7,Spring,5,Monitor
2472.0,49,9,Spring,3,Routine
195.0,80,8,Winter,3,Routine
1984.0,115,0,Summer,2,Routine
1594.0,119,2,Winter,1,Routine
2387.0,112,1,Autumn,3,Routine
1119.0,21,3,Spring,3,Routine
2539.0,119,4,Autumn,4,Routine
1046.0,25,3,Winter,4,Routine
1622.0,78,8,Spring,3,Routine
922.0,91,0,Spring,1,Routine
2459.0,30,0,Winter,5,Monitor
2703.0,56,7,Summer,3,Routine
1082.0,22,4,Winter,8,Immediate Action
1655.0,56,6,Autumn,8,Immediate Action
2395.0,64,1,Autumn,6,Monitor
814.0,63,8,Winter,3,Routine
1220.0,102,8,Summer,8,Immediate Action
2393.0,30,5,Winter,4,Routine
1484.0,13,0,Autumn,6,Monitor
1128.0,119,6,Autumn,3,Routine
1279.0,65,1,Spring,2,Routine
1347.0,35,2,Winter,3,Routine
1875.0,24,8,Winter,4,Routine
2821.0,72,2,Summer,3,Routine
2770.0,116,8,Summer,6,Monitor
1483.0,5,3,Summer,5,Monitor
2461.0,108,2,Summer,9,Immediate Action
504.0,111,4,Winter,5,Monitor
1849.0,61,3,Winter,3,Routine
946.0,27,0,Winter,4,Routine
2055.0,72,3,Winter,2,Routine
1681.0,81,1,Winter,8,Immediate Action
1196.0,18,7,Autumn,1,Routine
544.0,103,9,Spring,5,Monitor
2652.0,74,1,Summer,4,Routine
783.0,43,1,Summer,6,Monitor
2112.0,42,9,Winter,8,Immediate Action
1388.0,47,6,Winter,8,Immediate Action
1891.0,95,4,Spring,4,Routine
