property_id,address,age_years,construction_type,last_service_years_ago,seasonality
1800.0,1800.0,43,Victorian Brick,5,Winter
809.0,809.0,11,Edwardian Stone,0,Summer
2716.0,2716.0,87,Victorian Brick,0,Spring
2222.0,2222.0,84,Modern Timber Frame,5,Summer
1879.0,1879.0,90,Modern Timber Frame,0,Spring
1011.0,1011.0,103,Post-War Concrete,6,Autumn
2765.0,2765.0,118,Post-War Concrete,5,Summer
2510.0,2510.0,109,Post-War Concrete,8,Spring
2066.0,2066.0,88,Victorian Brick,6,Spring
239.0,239.0,76,Victorian Brick,8,Spring
1063.0,1063.0,25,Post-War Concrete,1,Winter
2412.0,2412.0,61,Edwardian Stone,4,Winter
986.0,986.0,6,Post-War Concrete,2,Summer
1217.0,1217.0,73,Modern Timber Frame,6,Summer
1624.0,1624.0,16,Victorian Brick,0,Spring
1199.0,1199.0,54,Edwardian Stone,8,Autumn
1199.0,1199.0,37,Modern Timber Frame,5,Winter
2661.0,2661.0,35,Modern Timber Frame,9,Summer
2161.0,2161.0,33,Post-War Concrete,3,Autumn
2292.0,2292.0,101,Modern Timber Frame,0,Winter
1061.0,1061.0,88,Post-War Concrete,9,Spring
809.0,809.0,29,Modern Timber Frame,6,Winter
526.0,526.0,63,Post-War Concrete,8,Autumn
1993.0,1993.0,7,Post-War Concrete,1,Summer
526.0,526.0,14,Post-War Concrete,4,Spring
2868.0,2868.0,34,Modern Timber Frame,4,Autumn
2250.0,2250.0,79,Victorian Brick,9,Winter
252.0,252.0,57,Post-War Concrete,5,Spring
2685.0,2685.0,47,Modern Timber Frame,7,Winter
1972.0,1972.0,34,Victorian Brick,8,Summer
1570.0,1570.0,54,Post-War Concrete,7,Winter
308.0,308.0,42,Modern Timber Frame,2,Winter
2653.0,2653.0,98,Victorian Brick,4,Spring
1176.0,1176.0,90,Victorian Brick,9,Autumn
1090.0,1090.0,64,Victorian Brick,3,Spring
1586.0,1586.0,56,Edwardian Stone,9,Autumn
2656.0,2656.0,78,Post-War Concrete,7,Spring
2584.0,2584.0,12,Edwardian Stone,4,Spring
139.0,139.0,104,Edwardian Stone,9,Autumn
2487.0,2487.0,19,Victorian Brick,4,Spring
927.0,927.0,8,Victorian Brick,7,Autumn
2544.0,2544.0,37,Victorian Brick,7,Summer
2544.0,2544.0,19,Edwardian Stone,7,Autumn
2584.0,2584.0,13,Post-War Concrete,3,Autumn
2584.0,2584.0,26,Edwardian Stone,3,Summer
2693.0,2693.0,31,Modern Timber Frame,6,Autumn
2773.0,2773.0,43,Post-War Concrete,0,Autumn
714.0,714.0,71,Victorian Brick,0,Winter
1684.0,1684.0,86,Post-War Concrete,4,Spring
134.0,134.0,38,Post-War Concrete,4,Winter
421.0,421.0,79,Post-War Concrete,9,Winter
388.0,388.0,77,Victorian Brick,4,Summer
1025.0,1025.0,18,Victorian Brick,3,Summer
2464.0,2464.0,34,Modern Timber Frame,5,Summer
2464.0,2464.0,35,Victorian Brick,6,Autumn
1216.0,1216.0,23,Post-War Concrete,8,Summer
1130.0,1130.0,106,Post-War Concrete,5,Spring
1392.0,1392.0,27,Victorian Brick,1,Spring
302.0,302.0,42,Post-War Concrete,4,Winter
1745.0,1745.0,49,Modern Timber Frame,2,Spring
574.0,574.0,37,Victorian Brick,9,Winter
1369.0,1369.0,30,Victorian Brick,5,Spring
574.0,574.0,74,Edwardian Stone,6,Summer
1536.0,1536.0,53,Edwardian Stone,2,Spring
1506.0,1506.0,94,Edwardian Stone,0,Summer
1506.0,1506.0,97,Post-War Concrete,0,Spring
1531.0,1531.0,22,Post-War Concrete,6,Summer
843.0,843.0,46,Victorian Brick,0,Autumn
2697.0,2697.0,23,Post-War Concrete,1,Summer
1839.0,1839.0,82,Edwardian Stone,3,Winter
2015.0,2015.0,40,Post-War Concrete,4,Summer
843.0,843.0,58,Victorian Brick,3,Autumn
763.0,763.0,38,Modern Timber Frame,9,Autumn
763.0,763.0,24,Post-War Concrete,0,Spring
763.0,763.0,89,Victorian Brick,6,Winter
894.0,894.0,30,Edwardian Stone,2,Autumn
843.0,843.0,61,Edwardian Stone,7,Winter
2111.0,2111.0,93,Modern Timber Frame,4,Summer
2700.0,2700.0,32,Victorian Brick,9,Spring
1095.0,1095.0,8,Victorian Brick,1,Autumn
575.0,575.0,32,Victorian Brick,9,Winter
270.0,270.0,52,Edwardian Stone,8,Winter
196.0,196.0,113,Edwardian Stone,6,Summer
912.0,912.0,70,Victorian Brick,0,Autumn
842.0,842.0,71,Edwardian Stone,7,Autumn
454.0,454.0,102,Edwardian Stone,8,Summer
748.0,748.0,37,Victorian Brick,8,Spring
675.0,675.0,74,Modern Timber Frame,1,Spring
2207.0,2207.0,66,Modern Timber Frame,5,Winter
2623.0,2623.0,13,Post-War Concrete,0,Spring
741.0,741.0,104,Edwardian Stone,8,Winter
2508.0,2508.0,9,Edwardian Stone,0,Spring
1959.0,1959.0,26,Modern Timber Frame,3,Spring
1227.0,1227.0,86,Post-War Concrete,7,Summer
913.0,913.0,12,Modern Timber Frame,2,Winter
1637.0,1637.0,77,Victorian Brick,7,Spring
2472.0,2472.0,49,Modern Timber Frame,9,Spring
195.0,195.0,80,Edwardian Stone,8,Winter
1984.0,1984.0,115,Victorian Brick,0,Summer
1594.0,1594.0,119,Edwardian Stone,2,Winter
2387.0,2387.0,112,Victorian Brick,1,Autumn
1119.0,1119.0,21,Modern Timber Frame,3,Spring
2539.0,2539.0,119,Modern Timber Frame,4,Autumn
1046.0,1046.0,25,Victorian Brick,3,Winter
1622.0,1622.0,78,Modern Timber Frame,8,Spring
922.0,922.0,91,Post-War Concrete,0,Spring
2459.0,2459.0,30,Edwardian Stone,0,Winter
2703.0,2703.0,56,Modern Timber Frame,7,Summer
1082.0,1082.0,22,Victorian Brick,4,Winter
1655.0,1655.0,56,Victorian Brick,6,Autumn
2395.0,2395.0,64,Victorian Brick,1,Autumn
814.0,814.0,63,Victorian Brick,8,Winter
1220.0,1220.0,102,Victorian Brick,8,Summer
2393.0,2393.0,30,Victorian Brick,5,Winter
1484.0,1484.0,13,Post-War Concrete,0,Autumn
1128.0,1128.0,119,Modern Timber Frame,6,Autumn
1279.0,1279.0,65,Modern Timber Frame,1,Spring
1347.0,1347.0,35,Post-War Concrete,2,Winter
1875.0,1875.0,24,Modern Timber Frame,8,Winter
2821.0,2821.0,72,Post-War Concrete,2,Summer
2770.0,2770.0,116,Victorian Brick,8,Summer
1483.0,1483.0,5,Edwardian Stone,3,Summer
2461.0,2461.0,108,Edwardian Stone,2,Summer
504.0,504.0,111,Edwardian Stone,4,Winter
1849.0,1849.0,61,Edwardian Stone,3,Winter
946.0,946.0,27,Victorian Brick,0,Winter
2055.0,2055.0,72,Edwardian Stone,3,Winter
1681.0,1681.0,81,Modern Timber Frame,1,Winter
1196.0,1196.0,18,Post-War Concrete,7,Autumn
544.0,544.0,103,Modern Timber Frame,9,Spring
2652.0,2652.0,74,Post-War Concrete,1,Summer
783.0,783.0,43,Post-War Concrete,1,Summer
2112.0,2112.0,42,Victorian Brick,9,Winter
1388.0,1388.0,47,Victorian Brick,6,Winter
1891.0,1891.0,95,Edwardian Stone,4,Spring
2162.0,2162.0,59,Edwardian Stone,4,Spring
820.0,820.0,25,Modern Timber Frame,4,Spring
2878.0,2878.0,115,Modern Timber Frame,8,Autumn
1748.0,1748.0,77,Victorian Brick,2,Winter
151.0,151.0,15,Victorian Brick,2,Winter
1466.0,1466.0,113,Post-War Concrete,1,Spring
2388.0,2388.0,92,Modern Timber Frame,7,Summer
229.0,229.0,43,Edwardian Stone,2,Spring
165.0,165.0,113,Victorian Brick,3,Autumn
2531.0,2531.0,76,Modern Timber Frame,3,Spring
1628.0,1628.0,74,Edwardian Stone,2,Autumn
351.0,351.0,117,Post-War Concrete,7,Winter
1172.0,1172.0,74,Post-War Concrete,9,Winter
126.0,126.0,89,Post-War Concrete,1,Summer
1636.0,1636.0,36,Edwardian Stone,4,Summer
2002.0,2002.0,26,Modern Timber Frame,2,Winter
2022.0,2022.0,108,Edwardian Stone,0,Spring
668.0,668.0,70,Post-War Concrete,2,Summer
1886.0,1886.0,6,Victorian Brick,6,Summer
1377.0,1377.0,37,Edwardian Stone,1,Summer
2874.0,2874.0,79,Edwardian Stone,9,Summer
1070.0,1070.0,25,Edwardian Stone,0,Winter
228.0,228.0,23,Victorian Brick,6,Winter
1767.0,1767.0,82,Modern Timber Frame,7,Spring
108.0,108.0,20,Victorian Brick,4,Summer
839.0,839.0,30,Edwardian Stone,7,Winter
1845.0,1845.0,81,Edwardian Stone,2,Autumn
277.0,277.0,17,Post-War Concrete,3,Spring
237.0,237.0,7,Victorian Brick,0,Summer
2820.0,2820.0,94,Victorian Brick,6,Summer
632.0,632.0,73,Victorian Brick,7,Summer
2518.0,2518.0,9,Victorian Brick,9,Spring
2427.0,2427.0,91,Victorian Brick,5,Winter
676.0,676.0,42,Victorian Brick,9,Spring
1936.0,1936.0,105,Edwardian Stone,6,Winter
1168.0,1168.0,58,Victorian Brick,4,Autumn
534.0,534.0,78,Modern Timber Frame,4,Spring
812.0,812.0,112,Post-War Concrete,6,Summer
2793.0,2793.0,21,Victorian Brick,4,Spring
2149.0,2149.0,113,Victorian Brick,7,Summer
1548.0,1548.0,70,Post-War Concrete,4,Winter
648.0,648.0,18,Edwardian Stone,2,Winter
2816.0,2816.0,35,Edwardian Stone,2,Summer
2194.0,2194.0,68,Modern Timber Frame,7,Autumn
2215.0,2215.0,39,Modern Timber Frame,0,Winter
2807.0,2807.0,9,Modern Timber Frame,3,Spring
1071.0,1071.0,118,Edwardian Stone,7,Autumn
81.0,81.0,103,Victorian Brick,5,Winter
1732.0,1732.0,33,Edwardian Stone,6,Spring
811.0,811.0,71,Post-War Concrete,2,Winter
2003.0,2003.0,89,Post-War Concrete,5,Winter
2575.0,2575.0,74,Modern Timber Frame,0,Summer
98.0,98.0,113,Modern Timber Frame,6,Spring
1396.0,1396.0,66,Victorian Brick,7,Winter
753.0,753.0,109,Victorian Brick,0,Winter
1734.0,1734.0,53,Edwardian Stone,1,Autumn
1281.0,1281.0,63,Edwardian Stone,7,Summer
81.0,81.0,110,Edwardian Stone,8,Autumn
1733.0,1733.0,98,Victorian Brick,7,Autumn
2120.0,2120.0,45,Victorian Brick,7,Winter
670.0,670.0,65,Post-War Concrete,8,Winter
1807.0,1807.0,91,Modern Timber Frame,1,Spring
1177.0,1177.0,19,Post-War Concrete,1,Autumn
469.0,469.0,27,Post-War Concrete,9,Spring
1269.0,1269.0,32,Edwardian Stone,8,Summer
1088.0,1088.0,119,Edwardian Stone,6,Summer
2405.0,2405.0,118,Edwardian Stone,2,Autumn
1732.0,1732.0,119,Edwardian Stone,7,Spring
2177.0,2177.0,74,Edwardian Stone,0,Spring
2294.0,2294.0,27,Victorian Brick,9,Spring
1420.0,1420.0,33,Victorian Brick,4,Summer
1792.0,1792.0,49,Post-War Concrete,8,Spring
340.0,340.0,56,Victorian Brick,1,Winter
547.0,547.0,44,Post-War Concrete,3,Winter
1143.0,1143.0,12,Modern Timber Frame,8,Winter
230.0,230.0,40,Victorian Brick,8,Spring
2413.0,2413.0,85,Modern Timber Frame,6,Spring
1855.0,1855.0,7,Modern Timber Frame,3,Winter
908.0,908.0,115,Edwardian Stone,2,Summer
2707.0,2707.0,85,Edwardian Stone,7,Autumn
2862.0,2862.0,25,Post-War Concrete,9,Summer
2593.0,2593.0,49,Victorian Brick,2,Winter
2027.0,2027.0,86,Victorian Brick,5,Autumn
2707.0,2707.0,9,Post-War Concrete,1,Spring
2127.0,2127.0,13,Post-War Concrete,4,Autumn
2379.0,2379.0,32,Modern Timber Frame,5,Winter
665.0,665.0,88,Victorian Brick,4,Autumn
1735.0,1735.0,37,Victorian Brick,2,Summer
858.0,858.0,26,Victorian Brick,1,Autumn
2294.0,2294.0,38,Modern Timber Frame,8,Autumn
1191.0,1191.0,48,Victorian Brick,6,Summer
892.0,892.0,9,Modern Timber Frame,4,Spring
907.0,907.0,59,Post-War Concrete,5,Autumn
2254.0,2254.0,93,Edwardian Stone,3,Spring
4.0,4.0,46,Edwardian Stone,8,Summer
895.0,895.0,78,Edwardian Stone,2,Summer
2629.0,2629.0,114,Modern Timber Frame,3,Spring
976.0,976.0,32,Victorian Brick,9,Summer
72.0,72.0,33,Modern Timber Frame,5,Autumn
2707.0,2707.0,62,Edwardian Stone,7,Autumn
2706.0,2706.0,25,Edwardian Stone,0,Summer
507.0,507.0,22,Post-War Concrete,8,Spring
1325.0,1325.0,7,Modern Timber Frame,3,Winter
1017.0,1017.0,91,Edwardian Stone,9,Spring
2660.0,2660.0,52,Edwardian Stone,0,Spring
2234.0,2234.0,16,Post-War Concrete,2,Spring
191.0,191.0,78,Edwardian Stone,5,Autumn
96.0,96.0,104,Edwardian Stone,6,Spring
1324.0,1324.0,57,Victorian Brick,6,Autumn
2420.0,2420.0,22,Modern Timber Frame,6,Winter
2054.0,2054.0,82,Modern Timber Frame,9,Summer
284.0,284.0,70,Victorian Brick,1,Winter
101.0,101.0,24,Post-War Concrete,1,Spring
2409.0,2409.0,38,Victorian Brick,9,Summer
780.0,780.0,10,Edwardian Stone,9,Winter
2707.0,2707.0,48,Edwardian Stone,1,Autumn
1084.0,1084.0,17,Edwardian Stone,0,Winter
2196.0,2196.0,72,Modern Timber Frame,7,Winter
192.0,192.0,82,Post-War Concrete,5,Spring
835.0,835.0,65,Edwardian Stone,8,Spring
127.0,127.0,25,Modern Timber Frame,3,Spring
591.0,591.0,94,Modern Timber Frame,2,Spring
1123.0,1123.0,114,Post-War Concrete,2,Winter
2867.0,2867.0,25,Modern Timber Frame,8,Winter
1286.0,1286.0,115,Edwardian Stone,6,Winter
