property_id,season,avg_temp_c,rainfall_mm,maintenance_risk_score
1800.0,Winter,13,1.6,8
1800.0,Spring,7,3.6,7
1800.0,Summer,3,3.7,1
1800.0,Autumn,6,3.5,1
809.0,Winter,14,0.5,9
809.0,Spring,19,3.5,5
809.0,Summer,19,2.3,4
809.0,Autumn,2,3.1,6
2716.0,Winter,9,3.4,9
2716.0,Spring,14,4.7,4
2716.0,Summer,18,1.0,7
2716.0,Autumn,19,3.7,2
2222.0,Winter,11,1.0,2
2222.0,Spring,20,2.4,5
2222.0,Summer,9,3.3,7
2222.0,Autumn,15,1.7,3
1879.0,Winter,2,3.6,3
1879.0,Spring,4,1.9,3
1879.0,Summer,14,4.6,7
1879.0,Autumn,14,1.0,2
1011.0,Winter,12,4.8,8
1011.0,Spring,11,2.3,2
1011.0,Summer,16,2.9,6
1011.0,Autumn,17,0.5,5
2765.0,Winter,14,1.1,1
2765.0,Spring,12,4.0,1
2765.0,Summer,20,4.9,5
2765.0,Autumn,10,2.9,9
2510.0,Winter,11,1.7,4
2510.0,Spring,4,1.1,5
2510.0,Summer,5,2.8,6
2510.0,Autumn,3,0.8,5
2066.0,Winter,11,4.5,3
2066.0,Spring,12,4.1,4
2066.0,Summer,11,1.4,2
2066.0,Autumn,12,3.2,1
239.0,Winter,12,2.0,2
239.0,Spring,5,4.2,7
239.0,Summer,20,3.7,2
239.0,Autumn,9,1.4,8
1063.0,Winter,19,0.7,9
1063.0,Spring,18,0.6,4
1063.0,Summer,2,4.9,2
1063.0,Autumn,3,1.2,8
2412.0,Winter,21,3.2,5
2412.0,Spring,17,4.4,1
2412.0,Summer,6,2.7,9
2412.0,Autumn,20,4.7,8
986.0,Winter,19,3.9,4
986.0,Spring,16,0.7,3
986.0,Summer,13,1.2,9
986.0,Autumn,13,3.3,7
1217.0,Winter,18,2.8,1
1217.0,Spring,18,1.6,9
1217.0,Summer,20,4.7,3
1217.0,Autumn,7,2.4,8
1624.0,Winter,8,2.9,9
1624.0,Spring,17,0.7,7
1624.0,Summer,4,3.3,4
1624.0,Autumn,14,1.5,4
1199.0,Winter,18,3.5,9
1199.0,Spring,7,3.4,4
1199.0,Summer,17,1.4,7
1199.0,Autumn,6,0.8,3
1199.0,Winter,5,3.2,1
1199.0,Spring,10,3.5,8
1199.0,Summer,14,0.7,7
1199.0,Autumn,20,4.8,8
2661.0,Winter,13,4.0,5
2661.0,Spring,17,1.4,6
2661.0,Summer,3,0.7,7
2661.0,Autumn,15,0.6,8
2161.0,Winter,5,2.9,4
2161.0,Spring,17,4.8,5
2161.0,Summer,17,0.9,2
2161.0,Autumn,13,1.2,7
2292.0,Winter,3,1.5,8
2292.0,Spring,2,3.8,4
2292.0,Summer,8,3.5,4
2292.0,Autumn,17,2.7,1
1061.0,Winter,11,2.7,7
1061.0,Spring,6,5.0,2
1061.0,Summer,5,3.6,1
1061.0,Autumn,6,3.7,1
809.0,Winter,9,2.9,3
809.0,Spring,21,1.0,9
809.0,Summer,15,3.6,5
809.0,Autumn,20,1.0,5
526.0,Winter,17,1.5,1
526.0,Spring,2,2.5,1
526.0,Summer,3,2.7,9
526.0,Autumn,20,4.7,5
1993.0,Winter,18,3.3,4
1993.0,Spring,15,0.8,9
1993.0,Summer,7,1.0,3
1993.0,Autumn,21,3.0,5
526.0,Winter,7,2.2,2
526.0,Spring,2,4.2,4
526.0,Summer,12,2.9,1
526.0,Autumn,19,4.4,4
2868.0,Winter,17,1.9,4
2868.0,Spring,19,4.6,7
2868.0,Summer,18,3.7,5
2868.0,Autumn,11,0.9,9
2250.0,Winter,12,4.4,5
2250.0,Spring,8,3.3,8
2250.0,Summer,20,1.3,3
2250.0,Autumn,16,2.5,3
252.0,Winter,3,1.3,5
252.0,Spring,19,2.6,8
252.0,Summer,4,3.6,6
252.0,Autumn,10,1.2,1
2685.0,Winter,3,4.0,1
2685.0,Spring,16,2.3,8
2685.0,Summer,8,3.2,6
2685.0,Autumn,17,2.2,4
1972.0,Winter,4,4.4,9
1972.0,Spring,19,1.6,8
1972.0,Summer,16,3.5,8
1972.0,Autumn,2,3.8,3
1570.0,Winter,2,3.1,6
1570.0,Spring,10,3.1,5
1570.0,Summer,13,3.6,4
1570.0,Autumn,12,2.7,2
308.0,Winter,17,0.7,3
308.0,Spring,6,0.5,8
308.0,Summer,6,4.6,8
308.0,Autumn,11,3.0,3
2653.0,Winter,13,3.0,3
2653.0,Spring,9,1.5,9
2653.0,Summer,5,2.1,7
2653.0,Autumn,13,3.9,1
1176.0,Winter,5,1.3,1
1176.0,Spring,16,3.8,1
1176.0,Summer,20,0.5,4
1176.0,Autumn,4,1.2,3
1090.0,Winter,21,2.6,7
1090.0,Spring,6,1.2,5
1090.0,Summer,8,4.5,9
1090.0,Autumn,8,4.2,1
1586.0,Winter,2,0.9,4
1586.0,Spring,4,1.3,8
1586.0,Summer,6,4.2,4
1586.0,Autumn,20,2.8,9
2656.0,Winter,7,4.7,3
2656.0,Spring,11,3.5,3
2656.0,Summer,10,3.8,3
2656.0,Autumn,16,3.4,1
2584.0,Winter,14,1.0,4
2584.0,Spring,11,2.9,1
2584.0,Summer,14,3.4,5
2584.0,Autumn,17,2.1,2
139.0,Winter,2,1.0,3
139.0,Spring,2,1.2,2
139.0,Summer,3,1.5,8
139.0,Autumn,2,4.3,4
2487.0,Winter,16,0.9,7
2487.0,Spring,13,2.1,6
2487.0,Summer,9,0.8,7
2487.0,Autumn,2,2.3,6
927.0,Winter,5,1.3,9
927.0,Spring,16,1.3,4
927.0,Summer,8,1.2,8
927.0,Autumn,16,2.4,6
2544.0,Winter,7,1.1,6
2544.0,Spring,18,1.2,1
2544.0,Summer,11,2.2,5
2544.0,Autumn,4,2.0,4
2544.0,Winter,11,3.4,5
2544.0,Spring,19,4.8,3
2544.0,Summer,19,4.7,3
2544.0,Autumn,12,2.8,6
2584.0,Winter,9,2.6,8
2584.0,Spring,15,4.0,3
2584.0,Summer,9,1.1,3
2584.0,Autumn,18,1.6,2
2584.0,Winter,21,0.7,7
2584.0,Spring,13,1.2,4
2584.0,Summer,15,3.3,7
2584.0,Autumn,12,2.5,2
2693.0,Winter,3,1.6,4
2693.0,Spring,20,2.5,1
2693.0,Summer,20,3.5,4
2693.0,Autumn,15,4.1,4
2773.0,Winter,11,0.9,2
2773.0,Spring,11,1.1,7
2773.0,Summer,6,1.1,7
2773.0,Autumn,9,2.7,8
714.0,Winter,18,3.9,3
714.0,Spring,17,1.7,8
714.0,Summer,11,1.8,5
714.0,Autumn,11,3.3,7
1684.0,Winter,21,1.8,8
1684.0,Spring,8,3.7,7
1684.0,Summer,12,2.4,4
1684.0,Autumn,8,4.6,5
134.0,Winter,5,1.5,4
134.0,Spring,9,3.2,1
134.0,Summer,9,2.6,6
134.0,Autumn,18,4.5,4
421.0,Winter,10,2.0,6
421.0,Spring,10,2.5,7
421.0,Summer,4,2.3,9
421.0,Autumn,10,4.4,4
388.0,Winter,14,0.8,7
388.0,Spring,19,4.5,7
388.0,Summer,16,1.7,4
388.0,Autumn,21,4.7,7
1025.0,Winter,15,4.9,1
1025.0,Spring,12,2.7,8
1025.0,Summer,3,3.5,9
1025.0,Autumn,3,1.7,5
2464.0,Winter,11,1.8,6
2464.0,Spring,3,1.2,8
2464.0,Summer,2,2.1,5
2464.0,Autumn,8,2.9,2
2464.0,Winter,19,5.0,1
2464.0,Spring,21,3.4,7
2464.0,Summer,10,2.7,4
2464.0,Autumn,20,0.7,9
1216.0,Winter,3,2.0,8
1216.0,Spring,16,2.8,9
1216.0,Summer,15,0.9,2
1216.0,Autumn,6,3.5,9
1130.0,Winter,10,3.1,2
1130.0,Spring,14,2.3,3
1130.0,Summer,15,3.2,7
1130.0,Autumn,4,4.7,8
1392.0,Winter,3,4.1,2
1392.0,Spring,11,3.5,8
1392.0,Summer,18,0.6,5
1392.0,Autumn,8,2.7,9
302.0,Winter,7,1.0,7
302.0,Spring,14,3.4,5
302.0,Summer,20,1.0,5
302.0,Autumn,5,4.2,6
1745.0,Winter,17,3.3,7
1745.0,Spring,6,3.4,3
1745.0,Summer,13,3.7,8
1745.0,Autumn,21,2.6,4
574.0,Winter,3,4.5,6
574.0,Spring,21,1.5,2
574.0,Summer,19,1.0,4
574.0,Autumn,13,4.8,4
1369.0,Winter,4,1.3,8
1369.0,Spring,4,2.5,6
1369.0,Summer,13,3.2,4
1369.0,Autumn,14,4.4,8
574.0,Winter,19,0.9,6
574.0,Spring,13,1.7,2
574.0,Summer,4,4.4,1
574.0,Autumn,6,1.6,1
1536.0,Winter,21,0.6,6
1536.0,Spring,18,3.6,7
1536.0,Summer,19,4.0,2
1536.0,Autumn,14,4.1,8
1506.0,Winter,17,3.9,4
1506.0,Spring,14,1.2,6
1506.0,Summer,3,4.8,5
1506.0,Autumn,11,3.1,6
1506.0,Winter,21,1.5,7
1506.0,Spring,19,3.7,1
1506.0,Summer,18,1.5,6
1506.0,Autumn,10,1.6,5
1531.0,Winter,10,2.0,9
1531.0,Spring,20,2.0,5
1531.0,Summer,13,1.8,7
1531.0,Autumn,9,4.6,9
843.0,Winter,17,3.3,9
843.0,Spring,6,2.9,1
843.0,Summer,9,2.4,1
843.0,Autumn,12,1.8,6
2697.0,Winter,18,3.5,1
2697.0,Spring,18,0.9,8
2697.0,Summer,8,1.0,2
2697.0,Autumn,11,3.6,7
1839.0,Winter,14,1.8,1
1839.0,Spring,12,1.1,4
1839.0,Summer,21,1.0,1
1839.0,Autumn,20,3.1,7
2015.0,Winter,7,4.9,8
2015.0,Spring,12,2.2,4
2015.0,Summer,8,2.3,8
2015.0,Autumn,15,0.9,3
843.0,Winter,4,4.4,6
843.0,Spring,21,0.6,7
843.0,Summer,7,1.9,9
843.0,Autumn,14,3.8,6
763.0,Winter,2,4.6,4
763.0,Spring,21,2.7,3
763.0,Summer,9,0.6,6
763.0,Autumn,14,2.4,7
763.0,Winter,15,2.9,1
763.0,Spring,8,1.1,9
763.0,Summer,2,1.2,6
763.0,Autumn,18,3.6,2
763.0,Winter,7,1.3,2
763.0,Spring,20,4.4,9
763.0,Summer,13,2.3,8
763.0,Autumn,18,4.0,2
894.0,Winter,6,2.7,9
894.0,Spring,13,2.5,4
894.0,Summer,17,1.4,5
894.0,Autumn,6,3.6,3
843.0,Winter,16,1.6,5
843.0,Spring,21,4.0,1
843.0,Summer,5,2.3,6
843.0,Autumn,11,4.3,6
2111.0,Winter,21,3.1,7
2111.0,Spring,7,4.1,7
2111.0,Summer,15,1.0,8
2111.0,Autumn,18,3.7,5
2700.0,Winter,4,2.1,1
2700.0,Spring,15,3.3,8
2700.0,Summer,3,1.0,6
2700.0,Autumn,12,2.1,2
1095.0,Winter,20,3.5,4
1095.0,Spring,4,4.8,2
1095.0,Summer,6,0.9,6
1095.0,Autumn,3,1.3,1
575.0,Winter,3,1.1,2
575.0,Spring,5,3.4,8
575.0,Summer,20,3.0,5
575.0,Autumn,21,2.2,4
270.0,Winter,21,4.1,2
270.0,Spring,3,2.3,6
270.0,Summer,12,1.1,7
270.0,Autumn,5,1.9,1
196.0,Winter,20,4.5,7
196.0,Spring,20,3.2,1
196.0,Summer,20,4.5,4
196.0,Autumn,21,4.4,5
912.0,Winter,19,1.7,4
912.0,Spring,21,1.0,6
912.0,Summer,11,1.6,3
912.0,Autumn,10,1.1,2
842.0,Winter,6,2.1,9
842.0,Spring,8,3.1,7
842.0,Summer,13,3.7,4
842.0,Autumn,17,0.6,1
454.0,Winter,6,2.4,1
454.0,Spring,7,4.6,7
454.0,Summer,20,0.7,3
454.0,Autumn,8,1.1,1
748.0,Winter,2,3.0,3
748.0,Spring,9,3.6,7
748.0,Summer,4,4.1,2
748.0,Autumn,12,4.5,6
675.0,Winter,6,3.6,3
675.0,Spring,9,3.3,9
675.0,Summer,17,3.5,4
675.0,Autumn,6,4.0,4
2207.0,Winter,6,2.9,6
2207.0,Spring,4,3.3,8
2207.0,Summer,8,4.3,4
2207.0,Autumn,21,1.7,9
2623.0,Winter,19,2.5,3
2623.0,Spring,5,4.0,3
2623.0,Summer,11,1.2,9
2623.0,Autumn,10,2.8,5
741.0,Winter,19,0.9,5
741.0,Spring,19,4.7,7
741.0,Summer,5,3.3,3
741.0,Autumn,3,2.0,8
2508.0,Winter,9,3.1,5
2508.0,Spring,3,4.7,5
2508.0,Summer,19,3.7,6
2508.0,Autumn,14,2.4,9
1959.0,Winter,10,4.7,4
1959.0,Spring,14,4.1,2
1959.0,Summer,21,4.2,2
1959.0,Autumn,6,3.3,2
1227.0,Winter,18,3.8,7
1227.0,Spring,18,2.5,8
1227.0,Summer,17,3.7,2
1227.0,Autumn,5,4.6,2
913.0,Winter,5,3.1,1
913.0,Spring,2,2.9,3
913.0,Summer,15,3.3,2
913.0,Autumn,12,1.7,5
1637.0,Winter,7,3.6,5
1637.0,Spring,20,2.7,9
1637.0,Summer,14,4.9,9
1637.0,Autumn,3,2.1,8
2472.0,Winter,2,1.8,3
2472.0,Spring,19,4.0,7
2472.0,Summer,6,3.0,2
2472.0,Autumn,11,0.5,6
195.0,Winter,16,4.4,7
195.0,Spring,11,2.5,6
195.0,Summer,6,0.7,4
195.0,Autumn,7,4.2,8
1984.0,Winter,16,1.1,4
1984.0,Spring,18,4.6,6
1984.0,Summer,7,3.6,3
1984.0,Autumn,17,3.0,4
1594.0,Winter,19,3.6,7
1594.0,Spring,2,1.6,8
1594.0,Summer,7,4.1,5
1594.0,Autumn,12,2.1,2
2387.0,Winter,14,0.6,3
2387.0,Spring,2,4.5,4
2387.0,Summer,16,0.7,7
2387.0,Autumn,20,4.8,9
1119.0,Winter,10,1.7,4
1119.0,Spring,3,4.8,2
1119.0,Summer,3,1.6,7
1119.0,Autumn,12,1.3,5
2539.0,Winter,19,2.3,4
2539.0,Spring,10,3.0,9
2539.0,Summer,14,3.1,8
2539.0,Autumn,16,4.2,2
1046.0,Winter,6,1.7,7
1046.0,Spring,6,1.4,3
1046.0,Summer,5,0.7,6
1046.0,Autumn,8,0.7,7
1622.0,Winter,10,4.6,3
1622.0,Spring,6,2.1,8
1622.0,Summer,13,2.1,2
1622.0,Autumn,8,1.1,9
922.0,Winter,20,0.5,4
922.0,Spring,6,1.2,7
922.0,Summer,13,1.4,9
922.0,Autumn,15,4.5,8
2459.0,Winter,19,0.9,8
2459.0,Spring,15,4.0,4
2459.0,Summer,9,1.0,9
2459.0,Autumn,5,1.0,7
2703.0,Winter,7,2.9,5
2703.0,Spring,17,2.8,4
2703.0,Summer,2,0.7,1
2703.0,Autumn,4,2.8,5
1082.0,Winter,8,4.2,5
1082.0,Spring,14,1.6,8
1082.0,Summer,10,0.5,4
1082.0,Autumn,19,3.4,5
1655.0,Winter,8,0.9,3
1655.0,Spring,5,1.5,4
1655.0,Summer,9,3.9,1
1655.0,Autumn,18,0.7,7
2395.0,Winter,10,1.9,7
2395.0,Spring,10,3.9,2
2395.0,Summer,7,2.9,1
2395.0,Autumn,19,0.7,2
814.0,Winter,3,3.9,2
814.0,Spring,7,0.8,6
814.0,Summer,18,1.1,8
814.0,Autumn,7,1.7,7
1220.0,Winter,5,2.8,9
1220.0,Spring,7,2.0,1
1220.0,Summer,2,1.3,9
1220.0,Autumn,10,4.5,1
2393.0,Winter,12,2.1,7
2393.0,Spring,14,3.7,2
2393.0,Summer,13,4.6,8
