property_id,date,issue_reported,urgency
1800.0,2025-01-08,Damp Patch,4
1800.0,2025-01-04,No Heating,3
809.0,2025-05-05,Broken Lock,1
809.0,2025-06-27,Leaking Tap,4
2716.0,2024-08-14,Damp Patch,4
2716.0,2024-11-28,No Heating,2
2222.0,2025-04-14,Leaking Tap,2
1879.0,2024-10-30,Broken Lock,4
1879.0,2025-05-31,Damp Patch,2
1011.0,2025-02-25,No Heating,5
1011.0,2025-04-08,Damp Patch,1
2765.0,2025-06-18,Broken Lock,1
2765.0,2025-05-20,Broken Lock,2
2510.0,2025-01-11,No Heating,4
2510.0,2024-07-15,Damp Patch,3
2066.0,2025-01-12,Damp Patch,5
2066.0,2025-01-06,Damp Patch,4
239.0,2024-10-22,Leaking Tap,3
239.0,2024-09-25,Damp Patch,4
1063.0,2025-01-16,Leaking Tap,4
2412.0,2025-03-26,Leaking Tap,1
986.0,2024-11-01,No Heating,1
986.0,2024-12-24,No Heating,3
1217.0,2025-03-22,No Heating,3
1624.0,2024-12-31,Damp Patch,4
1199.0,2024-11-28,Damp Patch,5
1199.0,2025-06-13,No Heating,5
2661.0,2025-06-07,Leaking Tap,1
2161.0,2025-02-21,Damp Patch,5
2161.0,2024-09-09,Broken Lock,5
2292.0,2025-05-21,Broken Lock,2
2292.0,2025-06-13,Damp Patch,1
1061.0,2025-02-05,No Heating,1
809.0,2024-12-04,Damp Patch,5
526.0,2025-06-13,Broken Lock,3
1993.0,2024-09-13,Broken Lock,2
1993.0,2024-12-07,Leaking Tap,2
526.0,2024-12-21,Broken Lock,1
526.0,2024-07-17,No Heating,2
2868.0,2024-09-18,No Heating,1
2250.0,2024-10-29,Damp Patch,3
252.0,2025-02-02,Broken Lock,4
2685.0,2024-09-12,Damp Patch,5
1972.0,2025-06-01,Leaking Tap,1
1972.0,2025-04-12,Leaking Tap,3
1570.0,2025-02-12,Leaking Tap,3
1570.0,2025-06-17,Broken Lock,3
308.0,2025-04-27,Damp Patch,2
308.0,2024-09-05,Leaking Tap,4
2653.0,2024-10-22,No Heating,2
2653.0,2024-12-24,Damp Patch,4
1176.0,2025-04-02,Broken Lock,3
1090.0,2025-01-20,Broken Lock,2
1586.0,2024-12-20,Broken Lock,2
1586.0,2024-12-10,Leaking Tap,1
2656.0,2025-02-21,Damp Patch,4
2656.0,2024-11-10,No Heating,2
2584.0,2024-11-25,Damp Patch,5
2584.0,2025-05-27,Damp Patch,5
139.0,2024-07-27,Broken Lock,3
139.0,2024-11-11,Broken Lock,2
2487.0,2024-07-10,Broken Lock,2
927.0,2024-09-27,Broken Lock,4
927.0,2024-10-12,Damp Patch,2
2544.0,2025-02-08,Broken Lock,3
2544.0,2025-06-24,No Heating,3
2584.0,2025-01-27,Damp Patch,2
2584.0,2025-01-21,Damp Patch,3
2584.0,2024-10-12,No Heating,1
2693.0,2024-08-05,Damp Patch,3
2773.0,2025-01-28,Leaking Tap,3
2773.0,2025-04-08,No Heating,2
714.0,2024-09-21,Broken Lock,3
714.0,2024-07-18,Broken Lock,2
1684.0,2024-11-25,Broken Lock,2
1684.0,2024-11-20,Damp Patch,1
134.0,2025-01-12,No Heating,4
421.0,2024-11-01,Leaking Tap,1
388.0,2025-04-23,No Heating,3
388.0,2024-10-21,Leaking Tap,3
1025.0,2025-01-10,Damp Patch,2
2464.0,2025-01-28,Leaking Tap,3
2464.0,2024-08-21,Damp Patch,5
2464.0,2024-08-31,Damp Patch,4
2464.0,2025-04-30,No Heating,4
1216.0,2025-05-29,Leaking Tap,1
1130.0,2024-09-05,Broken Lock,1
1130.0,2024-09-18,Broken Lock,2
1392.0,2025-01-28,Damp Patch,2
1392.0,2024-07-18,Leaking Tap,2
302.0,2025-03-21,No Heating,1
1745.0,2024-10-30,Leaking Tap,2
1745.0,2025-04-21,Leaking Tap,3
574.0,2024-08-13,Leaking Tap,5
1369.0,2024-12-08,No Heating,1
574.0,2025-02-22,Broken Lock,4
1536.0,2024-11-07,Damp Patch,1
1506.0,2024-11-29,Damp Patch,3
1506.0,2025-06-04,Leaking Tap,3
1506.0,2024-12-12,Broken Lock,5
1531.0,2025-02-10,No Heating,5
843.0,2024-07-31,No Heating,2
2697.0,2025-04-12,Damp Patch,2
1839.0,2024-09-26,Leaking Tap,4
2015.0,2024-09-15,No Heating,2
2015.0,2024-11-08,Broken Lock,2
843.0,2024-08-22,Broken Lock,2
763.0,2025-02-04,Leaking Tap,2
763.0,2025-05-07,Broken Lock,5
763.0,2025-04-29,Damp Patch,4
763.0,2024-07-24,Broken Lock,1
894.0,2024-09-30,Leaking Tap,3
843.0,2024-08-02,Broken Lock,3
843.0,2025-03-06,Damp Patch,2
2111.0,2025-01-24,Broken Lock,2
2111.0,2025-04-20,Broken Lock,3
2700.0,2025-01-31,Broken Lock,1
2700.0,2024-10-06,Broken Lock,1
1095.0,2024-11-12,Broken Lock,1
575.0,2025-01-31,Damp Patch,3
575.0,2025-06-23,Leaking Tap,1
270.0,2024-09-05,Leaking Tap,1
196.0,2025-04-09,Leaking Tap,1
196.0,2024-09-17,Leaking Tap,2
912.0,2025-04-19,No Heating,4
912.0,2025-06-05,No Heating,4
842.0,2024-11-03,No Heating,5
454.0,2024-10-04,No Heating,4
454.0,2025-06-14,No Heating,3
748.0,2025-03-26,Leaking Tap,3
748.0,2025-01-10,Leaking Tap,1
675.0,2025-02-08,Broken Lock,3
2207.0,2024-11-08,Broken Lock,3
2623.0,2025-01-21,No Heating,3
741.0,2025-06-26,Broken Lock,4
741.0,2024-11-20,Leaking Tap,1
2508.0,2024-09-14,Damp Patch,5
1959.0,2025-05-01,Damp Patch,5
1959.0,2025-03-20,Leaking Tap,1
1227.0,2025-03-25,Broken Lock,2
1227.0,2024-11-13,Leaking Tap,4
913.0,2024-12-10,No Heating,4
913.0,2024-11-20,Leaking Tap,3
1637.0,2024-08-24,Broken Lock,2
1637.0,2025-05-10,No Heating,3
2472.0,2025-06-05,Leaking Tap,3
2472.0,2025-04-29,Broken Lock,4
195.0,2024-11-10,Broken Lock,5
195.0,2025-03-17,Damp Patch,4
1984.0,2025-05-08,Broken Lock,4
1594.0,2024-09-06,Broken Lock,5
1594.0,2024-07-22,Leaking Tap,3
2387.0,2024-09-05,Broken Lock,1
2387.0,2025-04-01,Broken Lock,1
1119.0,2024-10-16,Leaking Tap,1
2539.0,2025-03-15,Damp Patch,1
1046.0,2024-09-25,No Heating,4
1622.0,2025-01-26,No Heating,2
922.0,2024-10-19,Damp Patch,5
922.0,2025-02-15,No Heating,5
2459.0,2024-09-21,Leaking Tap,1
2703.0,2024-11-14,Damp Patch,4
1082.0,2025-04-22,Leaking Tap,1
1082.0,2025-01-18,Damp Patch,1
1655.0,2025-04-05,Leaking Tap,5
2395.0,2025-03-08,Damp Patch,5
814.0,2024-09-13,Leaking Tap,1
1220.0,2025-05-20,Damp Patch,4
2393.0,2024-09-23,Damp Patch,4
2393.0,2024-12-03,No Heating,4
1484.0,2025-01-11,Broken Lock,2
1484.0,2025-03-27,Broken Lock,1
1128.0,2025-01-29,Broken Lock,1
1128.0,2025-03-29,Leaking Tap,5
1279.0,2024-09-21,No Heating,3
1279.0,2025-06-14,No Heating,4
1347.0,2025-06-06,Broken Lock,1
1875.0,2025-01-07,Leaking Tap,2
2821.0,2024-12-30,Leaking Tap,1
2770.0,2025-01-18,Leaking Tap,2
2770.0,2025-07-06,Damp Patch,4
1483.0,2025-03-30,Damp Patch,5
1483.0,2024-10-15,No Heating,1
2461.0,2024-09-23,Broken Lock,3
504.0,2025-05-15,No Heating,5
504.0,2024-07-16,Broken Lock,3
1849.0,2024-08-10,Broken Lock,3
1849.0,2025-03-14,Broken Lock,2
946.0,2024-10-13,Broken Lock,2
2055.0,2025-05-26,Damp Patch,2
1681.0,2024-10-30,Broken Lock,1
1196.0,2025-01-02,Leaking Tap,1
544.0,2024-12-05,Broken Lock,3
544.0,2024-11-16,Broken Lock,4
2652.0,2025-05-20,Leaking Tap,3
783.0,2025-01-27,Leaking Tap,5
783.0,2024-12-26,Leaking Tap,3
2112.0,2025-07-04,Damp Patch,5
2112.0,2024-12-22,Broken Lock,2
1388.0,2025-04-14,No Heating,1
1891.0,2025-05-22,Leaking Tap,4
2162.0,2024-07-23,Broken Lock,4
820.0,2024-07-15,Damp Patch,2
2878.0,2024-07-24,Broken Lock,5
2878.0,2024-08-26,Broken Lock,4
1748.0,2025-04-18,Leaking Tap,4
1748.0,2025-05-16,Broken Lock,5
151.0,2024-08-05,Broken Lock,1
1466.0,2024-10-29,Broken Lock,5
2388.0,2025-06-24,No Heating,5
2388.0,2024-12-27,Damp Patch,1
229.0,2024-10-27,No Heating,1
165.0,2025-03-26,Damp Patch,5
2531.0,2025-06-16,Broken Lock,1
2531.0,2024-12-14,Damp Patch,5
1628.0,2024-09-03,Leaking Tap,4
1628.0,2024-10-29,Leaking Tap,3
351.0,2024-08-13,No Heating,5
1172.0,2025-03-07,Broken Lock,5
1172.0,2025-03-10,Broken Lock,3
126.0,2024-12-14,Damp Patch,4
126.0,2025-05-07,Damp Patch,2
1636.0,2025-03-28,Broken Lock,2
1636.0,2025-01-11,Leaking Tap,5
2002.0,2025-04-27,Leaking Tap,5
2002.0,2024-11-20,Damp Patch,4
2022.0,2024-07-11,No Heating,3
668.0,2024-11-14,No Heating,1
668.0,2025-01-04,Leaking Tap,4
1886.0,2024-09-25,Damp Patch,2
1886.0,2024-09-02,No Heating,1
1377.0,2025-02-12,Leaking Tap,4
2874.0,2025-05-25,Damp Patch,2
1070.0,2024-12-27,No Heating,2
1070.0,2024-08-15,Leaking Tap,4
228.0,2024-10-07,Damp Patch,3
228.0,2025-01-13,Damp Patch,2
1767.0,2025-04-25,Broken Lock,4
108.0,2024-10-10,Damp Patch,4
108.0,2024-12-05,Damp Patch,2
839.0,2025-07-02,Leaking Tap,4
1845.0,2024-10-24,Leaking Tap,4
277.0,2025-07-08,No Heating,5
237.0,2024-07-26,No Heating,1
237.0,2025-03-28,Damp Patch,3
